Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
0.005337499984,-0.2108981051,0.2278431898,-1.214377813,1.253436877E0,1
0.0153495,-0.4315287544,0.1565779102,-1.045814865,1.142130658E0,1
0.02536149998,-0.9115758039,0.3085318422,-0.3169524175,1.013223163E0,1
0.0353735,-1.185676171,0.4657538232,0.2389873981,1.296097829E0,1
0.04538649999,-1.287138811,0.3251750645,0.3323066211,1.368536748E0,1
0.0553985,-1.278075626,0.1765733412,0.01914612293,1.290357325E0,1
0.06541049998,-1.122435464,0.2673998961,-0.4425728291,1.235813410E0,1
0.0754225,-0.9855271482,0.3472263765,-0.9572307175,1.417081707E0,1
0.08543549999,-0.7551807654,0.2429722756,-1.145880606,1.393691457E0,1
0.0954475,-0.531194399,0.2253169003,-1.179840065,1.313376478E0,1
0.1054595,-0.214781241,0.1290992126,-1.74011793,1.758069395E0,1
0.1154715,0.2715479109,0.1525687668,-2.377514137,2.397830054E0,1
0.1254845,1.420665827,0.523163833,-2.727356558,3.119369421E0,1
0.1354965,2.603755774,0.3210059997,-2.17492741,3.407770272E0,1
0.1455085,1.548769259,-0.836968402,-2.071077352,2.718191259E0,1
0.1555205,1.336710774,-0.7781357646,-2.534897209,2.969510872E0,1
0.1655325,1.403512874,-0.6347072192,-2.471174837,2.911942087E0,1
0.1755455,0.8786704516,-1.025534675,-1.984609312,2.400511873E0,1
0.1855575,1.230790217,-0.8163780168,-2.065542378,2.539248499E0,1
0.1955695,1.550572687,-0.7880228215,-2.609739815,3.136239392E0,1
0.2055815,1.515667879,-1.17889457,-2.966257417,3.533514482E0,1
0.2155945,1.75982904,-1.275229202,-3.455129669,4.081804601E0,1
0.2256065,0.9879797629,-1.807957326,-3.757421948,4.285211010E0,1
0.2356185,-0.09036287069,-1.619242095,-3.213843731,3.599847488E0,1
0.2456305,0.3678297718,-0.5051858376,-2.530385497,2.606407918E0,1
0.2556425,1.004408392,-0.1011572693,-1.894317777,2.146510855E0,1
0.2656555,0.5263477881,-0.3693509249,-0.7049806648,9.541801914E-1,1
0.2756675,-0.1989278314,-0.458312218,-0.4002822572,6.401939212E-1,1
0.2856795,-1.32274163,-0.2721061738,0.8999531472,1.622837902E0,1
0.2956915,-2.101830637,0.8907756498,0.9886934155,2.487707369E0,1
0.3057045,-1.661599033,1.599148577,-0.03276721179,2.306352360E0,1
0.3157165,-0.8966307592,1.927551597,1.730788697,2.741355758E0,1
0.3257285,1.439890742,3.328039268,4.463819393,5.751070708E0,1
0.3357405,4.396878129,6.743676842,3.202915869,8.664201331E0,1
0.3457525,0.4042883674,1.647330219,12.15967788,1.227741472E1,1
0.3557655,-1.187588941,-0.7229417033,7.397102022,7.526628098E0,1
0.3657775,3.345011981,2.043548076,8.135650967,9.030725915E0,1
0.3757895,5.133571168,3.097390584,9.118670245,1.091318141E1,1
0.3858015,4.239030204,2.514101879,9.930638584,1.108637308E1,1
0.3958145,3.849840699,2.284196084,11.24507512,1.210332763E1,1
0.4058265,2.237399793,0.9011427632,12.03244715,1.227182955E1,1
0.4158385,0.5377571311,-0.6141181496,11.22862339,1.125825507E1,1
0.4258505,-1.561833401,-2.12119296,10.14835264,1.048464804E1,1
0.4358635,-4.065798839,-3.745858786,7.437289351,9.266900837E0,1
0.4458755,-5.065241191,-4.269196574,6.729006178,9.442575489E0,1
0.4558875,-5.254230802,-4.009504478,6.061293327,8.967850594E0,1
0.4658996667,-4.382714126,-3.277114989,4.80721175,7.284020221E0,1
0.4759116667,-2.72169236,-1.830578741,3.62799149,4.890904833E0,1
0.4859246667,-0.9125209332,-0.1117935008,2.814112866,2.960476898E0,1
0.4959366666,0.0126725243,1.336910603,2.340396597,2.695356522E0,1
0.5059486667,0.3943947688,2.474499564,2.256413623,3.371957557E0,1
0.5159606666,0.986012321,2.483695773,2.89561779,3.940249659E0,1
0.5259736667,1.870136032,1.6988208,2.90385944,3.849129841E0,1
0.5359856666,4.082801372,-0.3949262077,5.537864615,6.891529457E0,1
0.5459976667,1.495664262,-2.472336679,0.3240205318,2.907653615E0,1
0.5560096666,1.494305515,-3.452875568,-2.318927375,4.419584011E0,1
0.5660216667,-0.5810074139,-3.09781743,-5.335152174,6.196603196E0,1
0.5760346667,-2.17726922,-0.2117507753,-6.259410442,6.630652964E0,1
0.5860466667,-2.536104074,2.888294737,-4.865286296,6.200409753E0,1
0.5960586666,-2.319497186,2.757618822,-2.568409941,4.425071569E0,1
0.6060706667,-0.890394119,0.6675719333,-2.510289786,2.745907643E0,1
0.6160836667,-0.6206451041,-1.569020798,-3.859242437,4.211980390E0,1
0.6260956667,-1.958262928,-3.076728278,-4.603811091,5.873340374E0,1
0.6361076667,-3.354978852,-3.803988881,-5.995879356,7.853456803E0,1
0.6461196667,-4.462129255,-4.159213079,-6.841057541,9.165681601E0,1
0.6561316666,-5.724428802,-3.913300823,-8.086378235,1.065234816E1,1
0.6661446667,-5.271859573,-3.578742147,-8.092826545,1.030018156E1,1
0.6761566667,-4.591295126,-3.709867128,-8.744618597,1.055042461E1,1
0.6861686667,-4.142193588,-3.910987665,-9.938966188,1.145585619E1,1
0.6961806667,-4.159215125,-3.964318072,-10.71438183,1.215783148E1,1
0.7061936666,-4.52640068,-3.78040706,-10.46204641,1.200975419E1,1
0.7162056667,-4.633374321,-3.331451995,-9.651538117,1.121244478E1,1
0.7262176667,-4.185006609,-2.859144613,-8.939282931,1.027617475E1,1
0.7362296667,-3.335730987,-2.472374978,-8.389460472,9.360704368E0,1
0.7462426666,-2.899635119,-2.343068482,-7.795158244,8.640737572E0,1
0.7562546667,-2.768654565,-2.492624471,-6.910893762,7.851055817E0,1
0.7662666666,-2.443089783,-2.237984076,-5.724719993,6.614354044E0,1
0.7762786667,-2.094396048,-1.466427307,-3.955710386,4.710047612E0,1
