"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.442874993E-3,1.506035176E-1,-8.584110188E-1,-6.659510851E-2,8.740628154E-1
1.345487498E-2,3.963388950E-1,-1.314245918E0,-6.430153817E-1,1.515848156E0
2.346587498E-2,3.851183805E-1,-1.546234784E0,-1.411865768E0,2.128972315E0
3.347787500E-2,2.634156033E-1,-1.231030976E0,-1.952432669E0,2.323105329E0
4.348987498E-2,4.588555706E-1,-7.116576004E-1,-2.148907886E0,2.309720779E0
5.350187499E-2,8.565320161E-1,-1.335033354E-1,-2.138936629E0,2.307925505E0
6.351387498E-2,1.492217621E0,2.199930105E-1,-2.197610514E0,2.665445990E0
7.352587499E-2,1.964500737E0,1.513969848E-1,-2.236240729E0,2.980428961E0
8.353687500E-2,2.030339801E0,1.319278032E-2,-1.907562890E0,2.785901997E0
9.354887498E-2,1.597221919E0,-2.796764177E-1,-1.477079179E0,2.193421907E0
1.035608750E-1,8.097583839E-1,-6.806042075E-1,-1.347907169E0,1.713413104E0
1.135728750E-1,3.201046515E-1,-1.116063606E0,-1.194803089E0,1.666019023E0
1.235848750E-1,-9.998738766E-5,-1.335424241E0,-9.042251229E-1,1.612755712E0
1.335958750E-1,-2.422893208E-1,-1.092759821E0,-6.643220508E-1,1.301595916E0
1.436078750E-1,-5.764886856E-2,-6.158831316E-1,-8.679671234E-1,1.065834111E0
1.536205000E-1,5.114176539E-1,-2.076501229E-1,-1.560268686E0,1.655024158E0
1.636325000E-1,8.672461617E-1,2.463812023E-2,-2.482220228E0,2.629475271E0
1.736445000E-1,3.885007024E-1,2.705094454E-1,-3.238963369E0,3.273376218E0
1.836565000E-1,-2.845988962E-1,4.768024296E-1,-3.667473060E0,3.709271591E0
1.936675000E-1,-6.408890417E-1,5.277553591E-1,-3.354073995E0,3.455296926E0
2.036795000E-1,-7.172048539E-1,5.226720822E-1,-2.503423401E0,2.656068078E0
2.136915000E-1,-5.658210254E-1,3.442603764E-1,-1.634212575E0,1.763326226E0
2.237035000E-1,-3.217985898E-1,2.539445758E-1,-8.712088197E-1,9.628327932E-1
2.337155000E-1,-3.164970656E-1,2.748898870E-1,1.846948314E-1,4.580906277E-1
