Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
0.003442874993,0.1506035176,-0.8584110188,-0.06659510851,8.740628154E-1,0
0.01345487498,0.396338895,-1.314245918,-0.6430153817,1.515848156E0,0
0.02346587498,0.3851183805,-1.546234784,-1.411865768,2.128972315E0,0
0.033477875,0.2634156033,-1.231030976,-1.952432669,2.323105329E0,0
0.04348987498,0.4588555706,-0.7116576004,-2.148907886,2.309720779E0,0
0.05350187499,0.8565320161,-0.1335033354,-2.138936629,2.307925505E0,0
0.06351387498,1.492217621,0.2199930105,-2.197610514,2.665445990E0,0
0.07352587499,1.964500737,0.1513969848,-2.236240729,2.980428961E0,0
0.083536875,2.030339801,0.01319278032,-1.90756289,2.785901997E0,0
0.09354887498,1.597221919,-0.2796764177,-1.477079179,2.193421907E0,0
0.103560875,0.8097583839,-0.6806042075,-1.347907169,1.713413104E0,0
0.113572875,0.3201046515,-1.116063606,-1.194803089,1.666019023E0,0
0.123584875,-9.998738766e-05,-1.335424241,-0.9042251229,1.612755712E0,0
0.133595875,-0.2422893208,-1.092759821,-0.6643220508,1.301595916E0,0
0.143607875,-0.05764886856,-0.6158831316,-0.8679671234,1.065834111E0,0
0.1536205,0.5114176539,-0.2076501229,-1.560268686,1.655024158E0,0
0.1636325,0.8672461617,0.02463812023,-2.482220228,2.629475271E0,0
0.1736445,0.3885007024,0.2705094454,-3.238963369,3.273376218E0,0
0.1836565,-0.2845988962,0.4768024296,-3.66747306,3.709271591E0,0
0.1936675,-0.6408890417,0.5277553591,-3.354073995,3.455296926E0,0
0.2036795,-0.7172048539,0.5226720822,-2.503423401,2.656068078E0,0
0.2136915,-0.5658210254,0.3442603764,-1.634212575,1.763326226E0,0
0.2237035,-0.3217985898,0.2539445758,-0.8712088197,9.628327932E-1,0
0.2337155,-0.3164970656,0.274889887,0.1846948314,4.580906277E-1,0
0.2437275,-0.656488536,0.3749573815,1.283777246,1.489850413E0,0
0.2537385,-1.103789862,0.6684691885,1.862616513,2.265953086E0,0
0.2637505,-1.785006419,1.014638096,1.910833238,2.804821215E0,0
0.2737625,-2.253063753,1.269942734,1.80308718,3.152804181E0,0
0.2837745,-2.281970779,1.30599345,1.72213131,3.143047212E0,0
0.2937865,-2.031553975,1.222581457,1.678033948,2.904774501E0,0
0.3037985,-1.621621035,1.144572876,1.806953943,2.684172945E0,0
0.3138095,-1.346081376,1.230379304,2.168574995,2.833458278E0,0
0.3238215,-1.327437529,1.402854916,2.528896211,3.182044682E0,0
0.3338335,-1.5305239,1.351791182,2.449996807,3.189408591E0,0
0.3438455,-1.909605322,1.121828084,1.987411882,2.975717851E0,0
0.3538575,-2.383128341,0.8148103783,1.084105942,2.741988756E0,0
