Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
23.52047638,-2.1036174,-10.72793334,-2.07575644,1.112755699E1,1
271.6510063,9.758858498,5.376239389,3.439962577,11.66072947,1
124.6053911,-0.1603825472,-0.4981579229,0.4452192789,0.6870983073,1
104.111246,7.169210885,-0.576475237,-26.83391109,27.78108517,1
44.75802658,1.089024912,-3.802530585,-10.81892069,11.51929941,1
46.166503,-0.6233446173,-1.897810611,19.86892766,19.96908937,1
204.1367128,-0.5450568682,-0.01830394115,-11.18968445,11.20296657,1
199.9309032,-3.323034051,-8.301096765,-7.631025147,11.75513962,1
44.988492,-0.9851080491,-0.1626978984,-0.1947608131,1.017270981E0,1
138.138949,0.1674929076,-6.546586499,-12.03339907,13.69994679,1
56.43157479,1.094766878,-0.5775122407,0.8832043827,1.520554138E0,1
186.4375752,3.123212765,5.04392809,3.52642477,6.901546219,1
18.11394642,-1.300979755,-10.35621882,-1.759322817,1.058484924E1,1
36.95923925,-0.6253755015,-0.3840147185,-0.679263441,9.999803219E-1,1
86.28430829,-0.4344557244,0.07316803671,-13.80752967,13.81455685,1
3.179210625,-2.83804552,-2.842932622,-8.031619645,8.980182760E0,1
96.01843283,1.565829096,9.553613042,3.539844714,10.3079505,1
123.1378982,1.833531293,0.1847281605,4.912666869,5.246928364,1
138.6768137,-3.164121932,4.80345316,0.588832706,5.782002579,1
52.50493425,-1.61167609,0.9270204931,0.1650411701,1.86657585,1
46.0160655,0.1166075865,-5.625909065,-6.934411263,8.930314087,1
63.10716054,0.6428586763,0.6709783749,15.0117345,15.04046715,1
6.019468667,11.3615423,-5.586198869,-6.117799065,14.06121356,1
194.2495551,-0.9707054798,-8.367943304,-11.4524934,14.21704433,1
116.3271008,2.51510146,-1.551758063,8.717894483,9.205181837,1
60.86690613,0.5403135704,-0.7519536871,0.3927622262,1.005800809E0,1
201.0049407,2.649663726,1.912182044,2.645099682,4.204011223,1
113.0884011,-9.471354412,-6.971798944,-2.086035115,11.94420686,1
160.9423626,-3.085482729,10.49168711,-0.357278325,10.94181657,1
33.91537221,1.158143532,0.8433737344,-0.2242921392,1.450131946E0,1
36.83640337,0.3522266961,1.070612907,2.539266833,2.778156168E0,1
49.89740408,-1.121992098,2.199190139,9.088060656,9.417438612,1
13.618481,1.802071518,1.264587854,-0.3588687676,2.230567414E0,1
262.7173089,-2.014928587,-0.869440037,-1.726143669,2.792030651,1
98.54033117,-1.276106577,1.859348796,0.04731566906,2.25562956,1
272.8254363,5.212001041,-8.707610984,46.5510544,47.64439221,1
160.091307,5.134874513,-1.778629738,0.2281162548,5.438979411,1
32.05354437,0.7221860238,-0.52835733,-0.06700850666,8.973317453E-1,1
298.1510163,1.059240292,-3.772774689,-10.18323947,10.91119539,1
52.86533754,-0.6751306289,0.2350147998,1.07689574,1.292570214E0,1
107.3816793,-3.307974255,8.510879075,3.541994151,9.79405324,1
170.6910882,-1.608961082,-9.200343568,-8.533248768,12.65114272,1
158.1441194,2.618828435,-7.834221153,-1.017693266,8.32279899,1
37.27786683,-3.357240263,-3.103039579,4.229974621,6.228370742,1
38.210686,1.377099978,-0.4992218238,1.972300338,2.456744879E0,1
44.94834533,0.9193947007,-0.4739881647,-0.6554073858,1.224544910E0,1
63.15740688,-0.3418040342,-0.3820933235,0.8176243508,9.650569334E-1,1
57.96331667,-0.4543368423,0.1341354194,-0.7917223549,9.226259070E-1,1
55.12022633,-1.620166978,-4.249460467,-0.1395873633,4.549982410E0,1
39.25910108,-0.7640005593,-0.5059437829,0.6378014195,1.116452693,1
194.781554,-3.503751314,-5.290250235,-10.19385567,12.00740248,1
96.80381171,-0.6650113644,1.404899395,-2.944318079,3.329413068,1
155.8573839,-0.1471508464,9.919020166,0.580870589,9.937103455,1
33.98373567,0.2903785034,-1.525467228,-4.488509846,4.749535827,1
29.49055575,-0.3895651149,-0.003230001926,-1.194650477,1.256567218E0,1
20.59956033,-0.1238231237,0.1364997411,-0.3909097552,4.321744810E-1,1
18.46664954,0.2361696249,1.590272357,17.55266545,17.62613987,1
19.06509742,-0.4319819136,1.251193053,-0.1217331827,1.329252194E0,1
107.7327073,-0.2416655326,-32.59657601,-7.250092496,33.39399663,1
170.2996192,-12.31327956,12.55102735,20.42877517,26.95329286,1
24.71672854,9.936641335,0.8799050912,25.55669676,27.43457351,1
273.7790344,-0.5058756629,-4.551914129,12.79029775,13.58556399,1
61.89258842,-3.286722842,0.4577602409,7.573286231,8.268419185,1
217.32631,-3.629098368,-6.403599856,-6.594786267,9.882694571,1
28.71922921,-0.2137566626,0.09228251159,-0.3163425529,3.927856712E-1,1
125.7223617,1.401850657,-8.016404606,-11.09809015,13.76210497,1
168.2820463,-1.933672462,-12.37836141,0.9566097432,12.56495215,1
24.73498387,-5.899808434,-6.396455728,-3.986611751,9.571596455E0,1
229.8333822,-9.087492306,-17.28247497,-20.6330535,28.40755805,1
15.02359204,-1.292465917,-1.203623907,21.89148891,21.96261518,1
66.03112333,3.846378563,10.52047179,3.658650781,11.78391616,1
158.0839422,-0.6732495797,-6.091425199,-0.5728786147,6.155234834,1
39.69700492,1.78877495,1.007203946,-0.4139255655,2.094160926,1
105.827123,2.647865415,9.643373065,-1.963734167,10.19127505,1
271.8517633,-7.915472308,-3.468960966,-9.369889433,12.7468906,1
61.37062342,4.296652175,-0.7278447399,6.099807183,7.496574254,1
119.1577245,2.127660858,-12.75672655,-13.26333633,18.52503991,1
29.00957271,0.4973059836,0.7018775475,0.2583405125,8.981565306E-1,1
53.74637317,-1.01010263,7.822717341,0.6298573923,7.912770328E0,1
37.90021783,-0.9835978594,9.125568205,0.1253878386,9.179280033,1
54.57959625,0.01779673174,0.6561032045,-0.4115505727,7.747012408E-1,1
151.4945393,14.82004406,-16.81491757,-18.66617061,29.16849472,1
174.1312449,0.8734354395,9.794746953,-2.529216931,10.15366415,1
143.6395852,-12.94302936,10.41063886,6.796905216,17.9471817,1
5.558578625,-0.4566821605,-0.9919321883,-0.9073411041,1.419773201E0,1
29.06964471,0.1762836117,0.0508579123,0.3972469676,4.375700998E-1,1
36.43834871,0.6395178697,2.81390529,-0.6939090351,2.967921130E0,1
9.853991458,14.3608704,-17.15266561,14.66428593,26.74864143,1
108.2542315,1.276420864,10.56596312,0.9577471729,10.68578994,1
237.0505625,2.10589182,2.817905078,-3.803436027,5.180877821,1
168.6333643,-5.902821504,-14.21179447,-2.750837806,15.63283443,1
83.81503267,-6.231961273,-4.111165046,-6.73956508,10.05787039,1
27.49525879,2.962935029,2.211240374,3.467421686,5.068686332E0,1
6.2429335,1.111038802,1.532150303,0.5937198454,1.983530949E0,1
44.64206988,-1.066372214,-3.481480147,-4.106781389,5.488488597,1
159.5382264,0.5462120953,1.098028162,-0.2463092633,1.250872396,1
222.4054217,-0.1460815734,-14.07837621,-13.65588798,19.61390561,1
85.35080192,-8.775497743,-10.2080457,22.83217727,26.50512925,1
136.3723218,-0.5275568461,-13.08204808,-13.24536316,18.62412262,1
136.4526228,-3.621129198,-11.46620512,-8.621537046,14.79585542,1
15.55412142,-1.162648374,0.1215601051,-0.2610202914,1.197772805E0,1
139.9505617,-0.608901008,10.61975283,0.533061415,10.65054295,1
199.6297722,9.316987334,-3.037840493,35.74264466,37.06172386,1
199.0977727,-5.280650277,5.198672898,14.40283119,16.19731501,1
90.02837017,7.591262326,-2.709766964,23.27354382,24.62981816,1
43.08630779,-1.41583018,-0.7845554227,-1.381676593,2.128175867E0,1
17.21549413,2.902697598,11.08118468,3.536311827,1.198848650E1,1
191.8304678,1.250456596,-8.298939727,-9.466783059,12.65132498,1
21.34044733,1.761390977,-0.7809973919,1.183181748,2.261055981E0,1
25.31263538,3.904532923,9.825216794,0.9560044833,1.061575277E1,1
263.6909805,0.5034430019,-0.3184650922,-1.72117412,1.821349836,1
244.8399121,-3.688627409,-1.834691234,-17.17723444,17.66435527,1
127.4236902,-0.1746480358,-2.833917385,-7.550410169,8.066615363,1
264.0623815,3.249656172,-0.7137637675,0.9413987964,3.457738517,1
183.5493631,1.762631172,-8.405915122,-11.04946003,13.99488637,1
28.95701187,-1.964029452,1.557899979,0.1248281139,2.509989261E0,1
