"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.364445833E-2,9.790519416E-2,4.065738612E-1,-2.641596615E-1,4.946393216E-1
3.368145833E-2,1.925379941E-1,3.191284588E-1,-1.696920455E-2,3.730975828E-1
4.371945831E-2,2.141574892E-1,6.405361623E-2,1.360775721E-1,2.616933350E-1
5.375745831E-2,1.232701233E-1,-2.523494554E-1,4.545935351E-1,5.343510579E-1
6.379545832E-2,-2.210042864E-2,-5.872069243E-1,1.050713663E0,1.203868598E0
7.383374998E-2,-7.602286667E-2,-8.338565138E-1,1.570620012E0,1.779871732E0
8.387174999E-2,-1.177874815E-1,-9.855198392E-1,1.889264029E0,2.134113824E0
9.390974999E-2,-2.621314086E-1,-1.146627880E0,1.985011016E0,2.307322496E0
1.039467500E-1,-1.736674212E-1,-1.156821623E0,1.923867266E0,2.251590971E0
1.139847500E-1,-4.594025776E-2,-1.076295523E0,1.727516595E0,2.035887066E0
1.240227500E-1,3.267979592E-2,-8.607425961E-1,1.466588105E0,1.700831107E0
1.340607500E-1,1.604280093E-1,-5.584260517E-1,1.146951815E0,1.285719747E0
1.440987500E-1,4.770108828E-1,-2.937883803E-1,7.542656761E-1,9.395571856E-1
1.541367500E-1,8.087643573E-1,-1.190683141E-1,3.152678347E-1,8.761682810E-1
1.641747500E-1,9.741179149E-1,-1.322078848E-1,-1.142709661E-1,9.896678688E-1
1.742117500E-1,9.978631653E-1,-1.190387857E-1,-3.220242923E-1,1.055272843E0
1.842497500E-1,8.103607933E-1,-1.737298402E-1,-2.252610594E-1,8.588417885E-1
1.942877500E-1,5.405699708E-1,-3.283685213E-1,-1.398618901E-1,6.477678036E-1
2.043257500E-1,2.041121189E-1,-5.231603247E-1,-3.302799761E-2,5.625382930E-1
2.143637500E-1,-1.388425742E-1,-6.504968941E-1,2.669604778E-2,6.656847217E-1
2.244017500E-1,-3.343334122E-1,-6.394631982E-1,1.319634712E-1,7.335573393E-1
2.344397500E-1,-1.770699160E-1,-6.739734650E-1,-5.068658888E-2,6.986867087E-1
2.444767500E-1,-2.534431770E-2,-7.614010334E-1,-4.612412345E-1,8.905713585E-1
2.545147500E-1,4.121863112E-2,-7.178170574E-1,-8.593407261E-1,1.120458293E0
2.645527500E-1,7.744520187E-2,-6.694959596E-1,-1.082327219E0,1.275011689E0
