Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
0.02364445833,0.09790519416,0.4065738612,-0.2641596615,0.4946393216,0
0.03368145833,0.1925379941,0.3191284588,-0.01696920455,0.3730975828,0
0.04371945831,0.2141574892,0.06405361623,0.1360775721,0.261693335,0
0.05375745831,0.1232701233,-0.2523494554,0.4545935351,0.5343510579,0
0.06379545832,-0.02210042864,-0.5872069243,1.050713663,1.203868598,0
0.07383374998,-0.07602286667,-0.8338565138,1.570620012,1.779871732,0
0.08387174999,-0.1177874815,-0.9855198392,1.889264029,2.134113824,0
0.09390974999,-0.2621314086,-1.14662788,1.985011016,2.307322496,0
0.10394675,-0.1736674212,-1.156821623,1.923867266,2.251590971,0
0.11398475,-0.04594025776,-1.076295523,1.727516595,2.035887066,0
0.12402275,0.03267979592,-0.8607425961,1.466588105,1.700831107,0
0.13406075,0.1604280093,-0.5584260517,1.146951815,1.285719747,0
0.14409875,0.4770108828,-0.2937883803,0.7542656761,0.9395571856,0
0.15413675,0.8087643573,-0.1190683141,0.3152678347,0.876168281,0
0.16417475,0.9741179149,-0.1322078848,-0.1142709661,0.9896678688,0
0.17421175,0.9978631653,-0.1190387857,-0.3220242923,1.055272843,0
0.18424975,0.8103607933,-0.1737298402,-0.2252610594,0.8588417885,0
0.19428775,0.5405699708,-0.3283685213,-0.1398618901,0.6477678036,0
0.20432575,0.2041121189,-0.5231603247,-0.03302799761,0.562538293,0
0.21436375,-0.1388425742,-0.6504968941,0.02669604778,0.6656847217,0
0.22440175,-0.3343334122,-0.6394631982,0.1319634712,0.7335573393,0
0.23443975,-0.177069916,-0.673973465,-0.05068658888,0.6986867087,0
0.24447675,-0.0253443177,-0.7614010334,-0.4612412345,0.8905713585,0
0.25451475,0.04121863112,-0.7178170574,-0.8593407261,1.120458293,0
0.26455275,0.07744520187,-0.6694959596,-1.082327219,1.275011689,0
0.27459075,0.013476151,-0.6826934177,-1.236622961,1.412617519,0
0.28462875,-0.1370648745,-0.6447669151,-1.412826465,1.559034886,0
0.29466675,-0.241306477,-0.4851005057,-1.493005241,1.588274524,0
0.30470475,-0.3401628669,-0.3340388587,-1.37548907,1.45576884,0
0.31474175,-0.1991465903,-0.1214966628,-1.239716138,1.2614741,0
0.32477975,0.03413399845,0.01682331651,-1.136058453,1.136695633,0
0.33481775,0.3007812848,0.1268755165,-0.9722978228,1.025636307,0
0.34485575,0.5474151599,0.1790513912,-0.8397554773,1.01828877,0
0.35489375,0.6546361381,0.2161566523,-0.6857836711,0.9724049646,0
0.36493175,0.6237149654,0.3044145253,-0.5114612156,0.8621375391,0
0.37496975,0.5849141945,0.3612646642,-0.412248584,0.8016144133,0
0.38500675,0.4957949169,0.3628980839,-0.4111259186,0.7392781208,0
0.39504475,0.4343789797,0.3437221402,-0.4024907506,0.6847107505,0
0.40508275,0.4353835313,0.3436768243,-0.3350191444,0.6480049429,0
0.41512075,0.4312630715,0.26754403,-0.2450579774,0.5635787941,0
0.42515875,0.5085942161,0.1865674022,-0.2370449531,0.5913254451,0
0.43519675,0.5210076723,0.07191461295,-0.1934855354,0.560408207,0
0.44523475,0.4589424383,-0.01743464291,-0.06207170248,0.4634490529,0
0.45527175,0.3926381191,-0.07350183964,0.07600971043,0.4066259818,0
0.46530975,0.3640553941,-0.1122101149,0.253939898,0.4578350267,0
0.47534775,0.3039000434,-0.07703224227,0.4358549631,0.536897338,0
0.48538575,0.2763729601,-0.008736032546,0.633297894,0.6910315144,0
0.49542375,0.2277946579,0.005957581848,0.8218916488,0.852896114,0
0.50546175,0.214458767,-0.03949706465,1.036672159,1.05935912,0
0.51549975,0.179723017,-0.0382770431,1.208214848,1.222108266,0
0.52553675,0.1936514501,-0.0207416819,1.205071385,1.22070805,0
0.53557475,0.2555496365,-0.09196530014,1.111344026,1.14404929,0
0.54561275,0.2077565423,-0.310371961,0.931687156,1.003760176,0
0.55565075,0.1555504082,-0.5785689788,0.7215551823,0.9378591972,0
0.56568875,0.07340901509,-0.7193380643,0.5655976617,0.9180069985,0
0.57572675,0.003123290241,-0.7263208093,0.4837272871,0.8726647473,0
0.58576475,-0.01868799359,-0.6090146998,0.5031160694,0.7901733512,0
0.59580175,0.05997503713,-0.4148482561,0.5277919042,0.6739884085,0
0.60583975,0.2976523666,-0.2368936564,0.5206892914,0.6448510479,0
0.61587775,0.5724160999,-0.1753753929,0.4771246111,0.7655485709,0
0.62591575,0.7763747294,-0.230053145,0.4034169495,0.9046697769,0
0.63595375,0.9382800378,-0.3873097707,0.2341821563,1.041738725,0
0.64599175,1.112331329,-0.6039362468,0.02977636099,1.26605948,0
0.65602975,1.210130396,-0.7951774746,-0.07685521781,1.45004466,0
0.66606675,1.223633079,-0.8969428544,-0.07201196909,1.518871331,0
0.67610475,1.174011414,-0.8523566656,0.04491480231,1.451493033,0
0.68614275,1.031772777,-0.6834268047,0.3383684295,1.283012258,0
0.69618075,0.806355743,-0.5426604965,0.7420087427,1.222811095,0
0.70621875,0.5991402143,-0.4558400153,1.147916021,1.372760106,0
0.71625675,0.4052680318,-0.4720406033,1.319832348,1.459116834,0
0.72629475,0.2632058345,-0.5593560514,1.252738472,1.396964632,0
0.73633175,0.3334697784,-0.7338110925,1.025612735,1.304439456,0
0.74636975,0.449977743,-0.9340928467,0.6849662304,1.242653673,0
0.75640775,0.5723981197,-1.079376421,0.1431041712,1.230110511,0
0.76644575,0.837641855,-1.275976476,-0.2898686993,1.553635642,0
0.77648375,1.202653561,-1.446314054,-0.7225024313,2.014996202,0
0.78652175,1.309313353,-1.537846222,-0.9815130347,2.245582396,0
0.79655975,1.379749936,-1.553944776,-1.170827166,2.385223366,0
0.80659675,1.587870467,-1.45430369,-1.373195207,2.553820064,0
0.81663475,1.729345458,-1.265766945,-1.512758889,2.623211987,0
0.82667275,1.828057129,-1.151489109,-1.625959815,2.703972144,0
0.83671075,1.597513842,-1.337670741,-2.131379102,2.980635899,0
0.84674875,1.555952271,-0.8780018225,-1.890889555,2.601410767,0
0.85678675,0.4568963148,0.01729577154,-1.832761799,1.888933349,0
0.86682475,-0.641648595,0.6342043586,-1.742411208,1.962122551,0
0.87686175,-0.7701546076,0.8743682896,-1.235182207,1.698038018,0
0.88689975,-0.4441466072,0.7700788131,-0.5504656523,1.04560988,0
0.89693775,-0.1640161532,0.7514133313,0.1334246904,0.7805930059,0
0.90697575,-0.1486172184,0.8499347489,0.6427890944,1.075943295,0
0.91701375,-0.218395405,0.9220121337,0.9318415225,1.328958822,0
0.92705175,-0.3614773567,0.9584160212,1.031362887,1.453594357,0
0.93708975,-0.5977320586,1.005394525,0.9789507848,1.525269289,0
0.94712675,-0.8918712719,1.083678949,0.7604187012,1.596255315,0
0.95716475,-1.014510773,1.131233769,0.5559409851,1.618021115,0
0.96720275,-1.028919043,1.200813369,0.3845789748,1.627429917,0
0.97724075,-0.9636188006,1.243194354,0.2528113854,1.59311236,0
0.98727875,-0.8935368513,1.3031365,0.1674519771,1.588903083,0
0.99731675,-0.8128332885,1.341776071,0.06795575559,1.570248058,0
1.00735475,-0.7479767033,1.418890905,-0.06267513514,1.605194294,0
1.01739175,-0.7309491728,1.46910767,-0.2201324666,1.655603317,0
1.02742975,-0.8021458939,1.508048665,-0.4044039595,1.755332268,0
1.03746775,-0.8483108309,1.502197648,-0.6047167039,1.828089531,0
1.04750575,-0.8943801659,1.51064746,-0.6869922906,1.885187003,0
1.05754375,-0.9032385515,1.540782986,-0.6611423349,1.904458263,0
1.06758175,-0.8363345638,1.535780254,-0.513360976,1.822530105,0
1.077620083,-0.8733367677,1.577706545,-0.3094557023,1.829655127,0
1.087657083,-0.8978099965,1.594456917,-0.1489788687,1.835905867,0
1.097695083,-0.8854675475,1.579659222,-0.005247291327,1.810912359,0
1.107733083,-0.9078875265,1.56192374,0.04446281254,1.807164207,0
1.117771083,-0.8866213493,1.489320618,-0.001194001436,1.733255534,0
1.127809083,-0.8016219833,1.3821796,-0.07900874734,1.599768931,0
1.137847083,-0.7588908237,1.301448994,-0.1419101697,1.513216198,0
1.147885083,-0.7046511742,1.213168024,-0.1411406761,1.41004632,0
1.157922083,-0.6576841454,1.139710624,-0.02249189973,1.316052669,0
1.167960083,-0.6083738449,1.060979911,0.2513144982,1.248581629,0
1.177998083,-0.5680134389,0.9204599172,0.5318802774,1.205314214,0
1.188036083,-0.5486379589,0.7817289517,0.7572179353,1.218803826,0
1.198074083,-0.5596302858,0.6399421582,0.8668105441,1.214113892,0
1.208112083,-0.5955140635,0.5075662391,0.8486075771,1.15429429,0
1.218150083,-0.6997210944,0.4139042962,0.7377069461,1.097787737,0
1.228187083,-0.8254169351,0.3476827517,0.4767088741,1.014617052,0
1.238225083,-0.8315360463,0.2576503949,0.1022175157,0.8765183071,0
1.248263083,-0.6240231867,0.08216975212,-0.2765481573,0.6874850464,0
1.258301083,-0.2695236048,-0.1564624277,-0.5035908633,0.5922222745,0
1.268339083,0.07375012703,-0.3558046073,-0.2497076833,0.4408967305,0
1.278377083,0.3018744218,-0.3403736591,0.5675120401,0.7273598215,0
1.288415083,0.4039575977,-0.09492450289,1.82769928,1.874213718,0
1.298452083,0.4430787595,0.08649040595,3.108117886,3.140731789,0
