Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
246.8305663,-4.839074982,1.480434896,0.2413832948,5.066221478,0
42.08186,2.199781001,-9.943952694,-3.94497139,1.092172289E1,0
20.84555379,0.8366799881,1.326290013,-0.3426614553,1.605146558,0
58.76769142,-0.7729329121,0.273171975,0.4698799109,0.9448996483,0
151.9432111,0.1440991389,1.599063208,0.8819168258,1.831814672,0
274.2351676,2.732178172,-0.3068782496,3.540080942,4.482314681,0
344.7450027,-3.909241394,0.03929372773,-2.722182941,4.76382118,0
12.31808371,4.306321716,2.672831857,2.726893458,5.755378770E0,0
174.0131117,-5.699500367,0.7444134101,1.439732574,5.925477672,0
24.6528145,0.8560281323,2.906382514,1.198164069,3.258134530E0,0
13.15922821,-13.40277371,-9.618260443,2.771291074,1.672798049E1,0
123.5706352,2.64945235,0.2145015979,-2.029136005,3.344099522,0
401.1419,8.603603636,-1.792604584,-5.832671873,10.5477717,0
45.14653825,1.372456704,1.631269671,1.885697812,2.846143774E0,0
140.3487693,-1.154032355,1.537771524,0.8588641781,2.105749181,0
158.6144129,0.938319068,-2.546244608,-3.544500268,4.463998927,0
51.50627912,-0.458027751,-0.2411432666,-1.307146229,1.405905672,0
432.211767,-2.350250909,2.393097551,1.293202373,3.594852932,0
31.11891388,-1.456111941,1.384448758,-1.270043306,2.376966628E0,0
97.79221546,-7.626819829,0.6202678125,0.1748659542,7.653998365,0
32.5706295,-0.4293568061,7.931607115,-10.09012022,1.284154449E1,0
61.94500317,-1.735088739,6.284863372,-9.581581444,1.158951006E1,0
424.7730449,-0.3337175542,-1.840270209,-3.141220728,3.655848671,0
60.78506421,1.526417693,-4.527558721,-5.022809701,6.932341324E0,0
56.99245887,-1.083750139,-0.8923698932,0.3403114593,1.444524239,0
86.40894375,1.186935661,2.109160999,4.008521268,4.68248002,0
12.54080496,2.793821858,-2.109699089,-2.726447901,4.437317768,0
239.6632171,3.787396529,-0.5427701318,-6.558729996,7.593148955,0
358.6483911,2.435170022,-1.960586465,0.290382231,3.139788872,0
18.80576821,3.887757554,0.3198005962,3.702870349,5.378492358E0,0
114.6324965,-1.189166739,0.9826719528,2.809933276,3.205540004,0
59.3634055,4.631273709,-1.787789694,1.791000108,5.277553367E0,0
17.38253704,2.307289808,-1.364173538,3.939151071,4.764605636E0,0
382.8012636,0.3108385688,1.255780632,4.582935362,4.762027104,0
533.3340755,-1.257925537,-0.8954912831,-3.019225005,3.391165128,0
237.585289,0.4807837987,1.168676561,-1.854433919,2.244077344,0
206.3361516,-0.005364820361,-1.462600889,0.7890402371,1.661870824,0
395.3094257,-2.03037196,0.2520575331,-2.887119446,3.538559311,0
64.07460446,-6.452204252,1.55424006,-0.430580336,6.650714345,0
496.5207327,2.162524881,0.2486313571,-2.964283397,3.677676913,0
170.4482507,0.7140357361,-0.8487332922,1.314648352,1.720027768,0
24.51108037,4.131550194,-6.580406209,-4.020301069,8.748386912E0,0
15.28174508,-1.066435071,-7.993732027,0.6309625161,8.089199539E0,0
173.7721947,0.7011817288,-0.7000978012,-4.511968875,4.619486538,0
143.4981203,1.504429969,-0.4645472503,2.362440307,2.839055809,0
418.8803075,3.831949389,-2.712007617,-4.087815945,6.224874346,0
17.94694192,-1.289370401,-0.6551892847,-1.792317193,2.303074022,0
12.69686525,-3.138575447,-1.980802774,-4.725120935,6.008411048E0,0
1.969322625,-0.4911658955,-0.5433457902,2.039155063,2.16670763,0
94.68036646,0.9389722019,0.937172429,2.04141969,2.434616049,0
23.24106275,-0.06286166131,0.7496057376,3.508954459,3.588679666,0
181.1501074,0.3393115854,-1.428988754,-1.201537182,1.897586048,0
31.9999545,4.43614803,5.15593326,-4.103369538,7.943594821E0,0
362.6035922,-1.858483701,1.775275629,3.214615563,4.115740328,0
292.3142589,-0.1626607686,1.984526428,2.670880641,3.331427181,0
278.9030002,1.017258233,0.3456647314,3.136891449,3.315778398,0
548.2322685,-0.132696712,-0.05398427233,0.02395311892,0.1452462424,0
491.9128472,0.09556163013,-1.461984592,-2.863020732,3.216118574,0
120.7907414,-0.8628986838,0.4521005747,-0.7795630699,1.247680908,0
149.8269222,0.08652947266,-0.8708392757,0.653627201,1.092280601,0
487.7567191,-5.662721965,-0.227502151,-0.9478282486,5.746003452,0
48.21493025,2.000448834,-3.677556583,-3.110977759,5.215783793,0
238.28797,-0.3895701581,1.569273983,3.535037718,3.887271204,0
141.7601067,0.6171414524,-2.136760587,3.335955228,4.009389812,0
12.79865371,5.831140487,3.520302735,0.9209750569,6.873348950E0,0
51.09575946,-5.033629389,-0.8401095262,-1.548754349,5.333089993,0
350.3766166,0.3494372088,0.2650532623,-2.062797256,2.108907801,0
285.1669378,-5.042825305,2.504949524,1.230244233,5.763537113,0
60.53477221,-0.5440804929,2.683371463,-0.390903908,2.765738935E0,0
358.8290861,-6.101651394,0.2245987161,-1.591817338,6.309871374,0
78.84028958,1.34281249,-1.35278784,4.548543794,4.931777668,0
534.0167413,-2.750610934,2.718315008,-3.333412274,5.105559165,0
362.6337082,3.18992628,0.5421006256,5.269391463,6.183525624,0
275.37954,-5.598280386,0.4511866549,0.7354866122,5.66438463,0
267.2284066,1.307792346,-1.70072743,-1.855128568,2.836246925,0
296.2191856,-0.3161484253,-1.187282401,-0.8883126564,1.516142705,0
335.4895121,-2.570176969,-0.3575250775,4.180990157,4.920804052,0
28.92242608,1.804073605,2.190050211,1.653336478,3.283979751,0
22.70906183,0.1265495342,1.350942751,3.344302129,3.609074373,0
58.08204083,5.484784176,-0.978370741,-2.395121273,6.064377353,0
110.6507076,-4.458667704,-2.714903743,4.192093434,6.695077848,0
83.09935817,3.121206001,-1.627036872,-1.764304937,3.937251299,0
539.6286603,-0.05393354774,0.2842808077,-0.2382946493,0.3748449614,0
20.30754183,-2.291404531,-1.628674969,0.1327154231,2.814379197E0,0
94.61009846,2.394100349,-1.238072339,-1.747018229,3.211948363,0
397.3573155,-4.752004094,0.01179763466,-2.45456933,5.348513129,0
162.3586948,2.125071711,1.947188155,5.738722905,6.421869826,0
95.94723387,1.244142334,0.3264453721,-0.9164900963,1.579370389,0
269.8182952,2.825396238,1.212991146,-1.923036669,3.62660743,0
126.4675734,0.8888443145,-1.912241832,1.382241434,2.521369553,0
301.5395247,-0.3001293933,-1.519288183,-2.575437709,3.005194441,0
18.66408129,1.101429195,-2.195523643,-4.374977383,5.017359608E0,0
164.5507038,-0.04871381141,2.895938802,0.3797206695,2.921133747,0
330.4602321,-5.565648245,0.0853807506,-0.8692067331,5.6337599,0
135.7672253,2.347229068,-1.080858106,-2.63829937,3.693015314,0
20.15947158,0.9888395959,-1.253280362,0.1738710505,1.605847613,0
503.9696595,-0.797091853,-0.2131025054,-2.597899788,2.725775377,0
136.3594873,1.974180803,0.300798461,4.345842462,4.782699683,0
419.5629415,-0.2939991724,-1.010207661,4.217925264,4.347165578,0
27.14574846,0.581984776,4.609481136,1.724801148,4.955901696E0,0
16.46557333,1.44607695,-1.015075175,-2.563190131,3.113110953,0
26.49498246,-2.4551675,-3.234031827,2.348759869,4.690786953E0,0
122.024398,-0.7875490509,-0.6828356512,3.870497743,4.008397537,0
182.093882,5.180366435,0.4460884675,-6.446742368,8.28225081,0
440.9655878,-1.314899052,-0.3544231296,-2.067190708,2.475449998,0
156.7372515,-0.005588183999,0.06239227608,0.9207265502,0.9228550288,0
309.3192712,-5.697963719,1.139059536,-0.9043303728,5.880651375,0
118.531383,1.439379256,0.9203936975,-0.2730433363,1.730170473,0
267.0979086,-5.689334398,0.9145037971,-0.420962251,5.777720338,0
179.875436,1.041041198,1.544008895,-1.249387579,2.242476213,0
23.75298775,-1.039958294,3.124166738,2.786685916,4.313646886,0
24.61623883,1.993081343,-1.745768679,-2.788031361,3.846192973,0
25.45360808,-1.050440598,-0.7456392789,-1.972795597,2.356125177E0,0
29.93250712,-0.2184212789,0.8412118725,0.5237169796,1.014704264,0
289.1923237,0.2001864445,0.5555258328,1.968764527,2.055411717,0
32.7107355,1.121083514,-0.6526609486,0.2779187447,1.3266625,0
129.0853383,3.027463732,1.501545684,0.351129393,3.397567945,0
361.5294628,6.188248658,-2.151386374,-3.959473654,7.65508435,0
333.903431,-0.7723294795,2.582392387,3.003764382,4.035820081,0
57.8002055,-4.135047998,-3.064269031,-6.391028928,8.205706392E0,0
75.01555212,0.5595187867,-1.11062248,2.302445244,2.616829697,0
527.4611453,4.389056309,-1.622631287,-1.543900575,4.927512208,0
64.98804587,2.19139317,1.213821158,4.512946529,5.161613334,0
370.022112,0.2286857736,-1.914475761,-2.751194487,3.359551417,0
260.603118,-6.694320495,-0.1384860402,5.646156219,8.75854927,0
67.16242429,0.8448057175,0.6831939393,-2.805205802,3.008260337,0
3.995375,0.1875102657,0.2813569075,-0.1191153842,0.3584833105,0
314.9207025,-4.447876959,0.210434567,6.199964139,7.633311698,0
0.123584875,-9.998738766e-05,-1.335424241,-0.9042251229,1.612755712E0,0
74.35334571,-4.805349997,0.4885227348,-0.1014528461,4.831183678,0
349.9650356,2.218847601,-2.04375536,-2.424115861,3.86995586,0
34.77470283,-3.173566355,-8.630642331,-7.720447201,1.200686535E1,0
32.45570833,2.196008962,-0.6004596385,0.8387175234,2.426201604,0
450.813645,-3.336289689,0.7501916286,-2.666222749,4.336168829,0
422.8857612,3.247641222,-0.08401016325,-4.090203363,5.223408347,0
2.874856875,-2.3587551,7.808319157,1.16743812,8.239932369E0,0
17.04776433,-0.4862614703,-0.4276122893,-1.432659051,1.57220051,0
67.37304625,2.087847459,-2.685953009,-5.692419974,6.631522882,0
130.2989399,0.4630077515,0.3949390715,2.919798073,2.982544859,0
165.1424638,0.8903751156,1.12940666,-0.1602207255,1.447065282,0
480.9503167,-0.1734237385,0.3776469545,0.7490973222,0.8566445082,0
548.6438768,-0.01654995918,0.07792189613,0.1881020039,0.2042745381,0
391.2437653,-1.536389827,-0.4097088459,-2.376862903,2.859690945,0
50.86214479,-2.805708078,-5.35000644,-1.534642678,6.232952341E0,0
514.8318996,3.178237111,-2.783137826,3.929777985,5.769766226,0
179.1942845,2.927250057,-0.1191779494,1.53792779,3.308809177,0
139.079876,2.437788405,2.424207224,5.55408713,6.532034662,0
86.09819012,-4.047599965,3.180216393,2.879480059,5.898156254,0
529.4187876,1.942163789,-2.937096768,-1.476511415,3.818196376,0
153.0866105,-3.593339429,-4.385436882,0.949353641,5.74851435,0
373.4954695,-2.654597899,1.263194755,0.4994943041,2.981953312,0
389.9788947,3.459512742,-0.1317928787,4.815959185,5.931193863,0
412.2246358,4.182145566,-2.254662674,-2.141518174,5.21152045,0
318.5445765,-5.655587777,1.113950423,0.09963231549,5.765109301,0
27.45457813,0.7223670682,-5.393002771,-1.887870491,5.759370457E0,0
29.6887365,-2.498425201,6.780994942,5.875131429,9.313495059E0,0
58.34173621,1.6641281,1.509480355,4.460205229,4.994124944E0,0
546.8368177,-0.3880972445,0.2527612455,0.1877400613,0.4997539885,0
23.75418892,1.734390289,0.7610502005,-0.72361808,2.0275429,0
173.5714297,-5.98107713,0.9096890536,0.09880800426,6.0506678,0
61.84621108,1.710156797,1.360160155,-0.5883542942,2.262925693,0
2.58661625,0.979563573,2.887128802,0.3409248322,3.067782139E0,0
53.93667171,8.65407037,3.359823563,6.019723717,1.106428588E1,0
5.951213375,-0.6480308309,0.6410179728,0.1598734009,0.9254228783,0
54.77806246,5.301172249,-0.1553219283,-6.758029418,8.590547930E0,0
455.6222396,-6.390243062,1.185348434,-1.316863862,6.631318702,0
35.21375842,3.517479699,-4.564120191,10.92446878,1.235102727E1,0
16.44140242,2.014897743,-3.740396025,10.49966271,1.132666290E1,0
301.2484115,1.807746826,0.1970923904,3.202673795,3.682921861,0
23.89176887,-0.4436674279,-1.112938562,-4.182825013,4.351034143E0,0
162.5193067,-3.998220813,-0.3644076888,3.218446659,5.14557689,0
17.67613692,0.1592937957,-0.3022016466,0.1988754988,0.3952870002,0
330.5405401,-0.1424919677,-0.8515732849,-2.56512556,2.706538409,0
37.91623075,1.964220071,-0.8336091766,-3.373028037,3.991288374,0
18.45382829,5.873967249,-4.028727491,6.880279495,9.903150123E0,0
3.988175333,0.4077666932,-2.110862392,0.2351294053,2.162706534E0,0
10.71392675,-0.9258481264,0.9543325451,-2.348461661,2.698743696,0
154.8902041,-6.371206282,1.158267055,2.269624822,6.861854625,0
434.7515789,-6.489466218,0.5738404816,3.015793274,7.178960494,0
465.8919805,6.814139884,-2.674747404,-4.241915805,8.460533419,0
416.4910905,0.8671999687,-2.624252604,4.192768788,5.021757424,0
398.4816479,0.9521664441,-1.811360551,-1.955270907,2.83032371,0
13.58959158,-1.037495447,-0.6778068995,-0.6139171515,1.383008772E0,0
464.2656843,-5.739521635,-0.1544164869,-3.026372641,6.490368588,0
83.38018512,-9.265861035,4.305180924,-0.6293524852,10.23654473,0
354.2715757,-5.5333301,1.26269321,0.4749155331,5.695408756,0
6.090679458,-1.942173729,-2.248081926,-2.196189641,3.694476969E0,0
106.4081527,-3.95089228,-4.153769614,1.99754306,6.070710839,0
514.9624086,-5.528673962,0.6387787816,-0.6428444968,5.602456886,0
120.8910394,-0.4072246563,0.5388121516,-1.103554366,1.293824831,0
0.3338335,-1.5305239,1.351791182,2.449996807,3.189408591E0,0
318.9661915,0.3050024629,-0.2373133403,4.72533085,4.74110702,0
24.20552892,1.11243,1.283139608,-0.5631032395,1.789143096,0
210.3313659,-1.044913225,0.2603616026,-0.7492604595,1.31187768,0
189.88353,2.084171607,-0.8826855154,-4.01595191,4.609856261,0
105.8765806,-0.7404343799,0.7359533662,-0.4754967463,1.147156303,0
169.5561318,5.189933065,1.031765468,-0.4072650752,5.307147071,0
56.12919462,-1.929081813,-2.241535968,-3.338257862,4.459798839E0,0
484.8554633,2.464824176,-2.059342575,-2.859966731,4.300658062,0
64.62297067,-1.338409244,-1.084600031,0.5047433496,1.795121829E0,0
360.7163375,2.967147363,-1.19393507,2.492497294,4.054872031,0
553.0109371,-0.2089069819,-0.0980592683,0.2033345854,0.3075755205,0
141.2079997,1.546786761,0.4684987986,2.909957501,3.328647333,0
514.5608446,-1.701316976,1.156489574,-0.8245071083,2.216248984,0
47.40947296,-5.140596013,9.150151654,6.13977641,1.215927041E1,0
335.9211671,-0.7273257995,1.232501551,2.358393596,2.758637933,0
381.2151612,3.084489872,-0.7595193263,-2.860070227,4.274453074,0
359.9634442,1.188227311,0.1458510469,-2.91849736,3.154486251,0
12.420498,0.3639650546,0.8753237978,0.4977758074,1.070720816,0
27.25457137,0.8109819138,-1.360436144,1.703099792,2.325731512,0
160.7124155,2.647640297,-0.2023319341,-2.324416741,3.529001352,0
289.3228227,-5.762052711,1.650730082,-0.4643507838,6.011803631,0
119.7661,-5.457668298,0.3652926649,2.555595183,6.037437265,0
78.81674517,2.995996648,-0.5047562134,-0.5805770588,3.093193249,0
169.2047925,2.939940269,-1.988850005,1.991464587,4.069975962,0
4.00831625,0.6029121801,3.867413921,4.20310228,5.743384221E0,0
265.9435019,-3.690997578,0.1866431236,3.128263882,4.841934912,0
415.6377994,-6.722512261,-0.3146027139,0.164709633,6.731884968,0
263.1628872,1.504511976,3.348801561,4.339754925,5.684320627,0
2.32417825,-1.817491211,-19.99687176,2.069400078,2.018565261E1,0
141.2180377,2.237112549,1.058516918,3.610810032,4.3775655,0
556.8258416,-0.08701884806,-1.138352608,-1.801482704,2.132781956,0
242.604439,-5.41628463,1.411552942,0.5495651811,5.624112622,0
8.709440625,-0.08279423475,-0.09915766776,-0.7840958315,0.7946655909,0
1.1527325,-1.449151708,-4.334990614,-7.100041248,8.444096755E0,0
