"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.481391665E-2,6.250351936E-2,-1.439739445E-1,1.369462929E0,1.378428055E0
3.484291665E-2,-4.840515152E-2,-1.076218048E-1,1.091782751E0,1.098141652E0
4.487191665E-2,-1.635232329E-1,-1.558835533E-1,4.581252533E-1,5.108016030E-1
5.490091664E-2,3.404833674E-3,5.285298228E-3,-1.440403104E-1,1.441774541E-1
6.492991676E-2,2.639881919E-1,2.938684872E-1,-4.166334110E-1,5.741357439E-1
7.495891675E-2,1.630706584E-1,3.738779855E-1,-4.414659512E-1,6.010565479E-1
8.498791675E-2,-6.381007969E-2,2.778634885E-1,-4.710657263E-1,5.506203438E-1
9.501791676E-2,-2.190992635E-1,2.229075551E-1,-3.162291169E-1,4.446269445E-1
1.050469168E-1,-2.860039821E-1,2.218872160E-1,-5.525852680E-2,3.661771691E-1
1.150759168E-1,-2.650881994E-1,2.137835598E-1,2.558361501E-1,4.259428360E-1
1.251049167E-1,-1.913863850E-1,2.280262077E-1,4.956316334E-1,5.781655609E-1
1.351339167E-1,-2.192856435E-1,2.197871885E-1,6.580953509E-1,7.276552017E-1
1.451629167E-1,-2.556224343E-1,2.675206411E-1,6.421956021E-1,7.411648357E-1
1.551919167E-1,-2.512421389E-1,3.761195156E-1,5.080809402E-1,6.802460909E-1
1.652219167E-1,-1.274921785E-1,5.168380228E-1,2.881677443E-1,6.053234228E-1
1.752509167E-1,-1.653950728E-2,5.984873727E-1,8.427182615E-2,6.046175909E-1
1.852799167E-1,1.419707615E-1,5.624913284E-1,-7.208272040E-2,5.845922598E-1
1.953089167E-1,1.594515974E-1,3.634962541E-1,-2.936869311E-1,4.937675082E-1
2.053379167E-1,1.410528948E-1,2.894383442E-1,-3.944864970E-1,5.092053325E-1
2.153669167E-1,2.375524914E-1,3.598891068E-1,-3.529490465E-1,5.572471487E-1
2.253959167E-1,3.115442546E-1,4.535530230E-1,-2.544000739E-1,6.062091759E-1
2.354259167E-1,3.122105449E-1,5.006418201E-1,-2.500503302E-2,5.905445860E-1
2.454549167E-1,2.513638341E-1,4.625220671E-1,4.074556214E-1,6.656804962E-1
2.554839167E-1,1.636425161E-1,3.524631429E-1,6.955602157E-1,7.967516262E-1
2.655129167E-1,1.242894392E-1,1.652440685E-1,7.669827855E-1,7.943651931E-1
2.755419167E-1,1.428140762E-1,8.771115839E-3,7.640913373E-1,7.773727321E-1
2.855709167E-1,1.773507285E-1,-7.209616899E-2,6.730408341E-1,6.997393106E-1
2.956009167E-1,2.409364944E-1,-1.223293063E-1,4.096991980E-1,4.907833395E-1
3.056299167E-1,2.701121271E-1,-1.274912283E-1,2.587568343E-2,2.998068136E-1
3.156589167E-1,2.022022721E-1,-1.119092757E-1,-3.263769597E-1,3.999141966E-1
3.256879167E-1,2.488128401E-1,-3.381854117E-2,-5.649369264E-1,6.182275098E-1
3.357169167E-1,3.594013759E-1,5.074769229E-2,-5.829434270E-1,6.867078828E-1
3.457459167E-1,3.097928308E-1,8.154322296E-2,-3.843988806E-1,5.003832478E-1
3.557749167E-1,1.468587780E-1,7.131585807E-2,-9.130719602E-2,1.870573610E-1
3.658049167E-1,-5.336465020E-2,1.757392359E-1,3.172056019E-2,1.863820240E-1
3.758339167E-1,-6.539192694E-1,2.536966538E-1,1.251649135E-1,7.124876551E-1
3.858629167E-1,-1.957177538E0,2.919856837E-1,2.688929826E-1,1.997023533E0
3.958919167E-1,2.218268435E-1,2.769954693E-1,8.833026159E-1,9.519228696E-1
4.059209167E-1,1.441224784E0,4.166965610E-1,1.567575951E0,2.169806273E0
4.159499167E-1,3.107286412E-1,4.024816874E-1,1.477718865E0,1.562752968E0
4.259789167E-1,-3.726340269E-1,1.375849843E-1,1.163076097E0,1.229036921E0
4.360089167E-1,-5.910424054E-1,-3.855507821E-1,6.727765399E-1,9.749916939E-1
4.460379167E-1,-7.594622429E-1,-7.483602807E-1,-3.548347735E-1,1.123714254E0
4.560669167E-1,-4.161787535E-1,-6.385451853E-1,-4.760431101E0,4.821063055E0
4.660959167E-1,2.524461975E0,-3.036061478E-1,-3.119090770E0,4.024153600E0
4.761249167E-1,2.017846201E0,-9.656670803E-1,-8.764064097E-1,2.402562048E0
4.861539167E-1,4.334614419E-1,-9.321870929E-1,1.119838861E0,1.520164686E0
4.961829167E-1,-4.229964242E-1,-1.501421723E-1,2.869713455E0,2.904603925E0
5.062129167E-1,-9.443032546E-1,-2.879923278E-1,2.655772020E0,2.833332533E0
5.162419167E-1,-8.276184118E-1,6.026102445E-1,2.461267900E0,2.665695222E0
5.262710417E-1,-1.442700913E0,6.287505144E-1,5.900904787E-1,1.680749805E0
5.363000417E-1,-1.413744624E0,1.450390148E-1,-1.245299644E0,1.889571746E0
5.463290417E-1,-1.602752947E0,-3.091636339E-1,-2.526725140E0,3.008112215E0
5.563580417E-1,-2.049778577E0,-6.097043788E-1,-2.807987908E0,3.529607306E0
5.663880417E-1,-1.572765940E0,-6.031452647E-1,-2.291284078E0,2.843828342E0
5.764170417E-1,-1.201730944E0,-6.219399700E-1,-1.898969237E0,2.331748432E0
5.864460417E-1,-7.052690788E-1,-4.961780557E-1,-7.285835356E-1,1.128907040E0
5.964750417E-1,1.211221486E-1,-4.968338209E-1,-7.416549861E-2,5.167348853E-1
6.065040417E-1,5.234199411E-1,-4.258012605E-1,-3.160408366E-1,7.450885575E-1
6.165330417E-1,4.369830737E-1,-3.983839586E-1,-2.682135361E-1,6.493092377E-1
6.265620417E-1,-3.806501941E-1,-1.412032413E-1,4.796225417E-1,6.283873870E-1
6.365920417E-1,-1.103495163E0,2.143828994E-1,1.099795775E0,1.572645017E0
6.466210417E-1,-1.096827802E0,7.809909600E-1,7.502439612E-1,1.541377341E0
6.566500417E-1,-1.840044068E0,1.416144760E0,-7.709319949E-2,2.323181335E0
