Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
130.4225197,1.140005616,13.13378776,-0.1497879041,13.18402177,1
130.4325487,-1.681702783,20.38234594,0.06040173769,20.45169428,1
130.4425787,1.214839159,19.79508903,0.1659088238,19.83302573,1
130.4526077,4.492547933,11.44305249,-1.186255045,12.35045093,1
130.4626377,4.68469621,10.07020811,-1.219572407,11.17330868,1
130.4726667,4.487274914,10.26790715,-0.8047568949,11.23446426,1
130.4826967,4.643141218,10.14320008,-0.7099852967,11.17798494,1
130.4927257,4.35660777,9.854726522,-0.4616120211,10.78465353,1
130.5027557,3.6050017,9.436357073,-0.4373974586,10.11099345,1
130.5127847,3.041634459,9.166554263,-0.3340549386,9.663790661,1
130.5228147,2.681156538,9.039358027,-0.1352613008,9.429575258,1
130.5328437,2.289788214,8.83334834,-0.0163992472,9.125318729,1
130.5428737,1.953580331,8.544966588,0.1121589518,8.766157067,1
130.5529027,1.727892717,8.164554339,0.3808102982,8.354075489,1
130.5629327,1.754013691,7.950773703,0.6259078905,8.165973744,1
130.5729617,1.894260036,7.803425623,1.083671347,8.102840003,1
130.5829917,2.030610234,7.938439586,1.654199674,8.359340736,1
130.5930207,2.061216023,8.297669712,2.130236557,8.811233848,1
130.6030507,2.042688535,8.820130125,2.305919659,9.342619405,1
130.6130807,1.466115796,9.075208476,2.346018841,9.48750277,1
130.6231097,0.8883120717,9.083497488,2.472145475,9.455714051,1
130.6331397,0.3655929194,9.049141003,2.550416304,9.408784959,1
130.6431687,0.1229321542,8.949504449,2.623947964,9.327049111,1
130.6531987,-0.1031342129,8.862513083,2.769714957,9.28580076,1
130.6632277,-0.1210018422,8.695023099,2.996234922,9.19758076,1
130.6732577,0.08394408971,8.645912334,3.115262014,9.190413708,1
130.6832867,0.7296263865,8.819292803,3.411109199,9.484089107,1
130.6933167,1.584728905,9.415659683,3.566588709,10.19247605,1
130.7033457,1.994168925,9.894436133,3.40016058,10.65071209,1
130.7133757,2.119059458,10.0992945,3.083880007,10.77016612,1
130.7234047,1.965192901,10.13998878,2.765017304,10.69236533,1
130.7334347,1.517070334,9.824171312,2.327824498,10.20953531,1
130.7434637,0.9528644554,9.357834229,1.986827599,9.613765965,1
130.7534937,0.3331097361,8.715953792,1.66332937,8.879497575,1
130.7635227,-0.05586590633,7.293085318,1.681211325,7.484563179,1
130.7735527,-0.6672345489,4.678981141,1.606252213,4.991804547,1
130.7835817,-1.373554372,0.8031144851,1.303567586,2.056923174,1
130.7936117,-2.824093478,-5.736716141,-0.03842804745,6.394285947,1
130.8036417,-4.100569014,-17.5965184,-1.971526605,18.17523158,1
130.8136707,-1.568501565,-27.7353085,-4.515216126,28.14417722,1
130.8237007,7.489614329,-32.9961373,-5.388919076,34.26193002,1
130.8337297,11.73835676,-37.42681351,-4.410010976,39.47155413,1
130.8437597,8.223412997,-40.36518205,-5.821107835,41.60357844,1
130.8537887,1.114307688,-36.68273193,-4.56127289,36.98201879,1
130.8638187,-4.943013334,-28.88517983,-4.188025819,29.6028133,1
130.8738477,-6.480397772,-21.06605385,-2.356897439,22.16594563,1
130.8838777,-5.749601065,-14.48708489,-0.5734800008,15.59687213,1
130.8939067,-4.573549119,-9.623542818,-0.3583536279,10.6610668,1
130.9039367,-4.075474226,-8.843748198,-1.016730522,9.790562462,1
130.9139657,-4.279850201,-10.46121844,-1.343389025,11.38239444,1
