"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.347629167E-2,2.974864701E-1,8.446712315E-2,-4.213445127E-1,5.226510243E-1
2.350629168E-2,2.353193119E-1,5.153151155E-3,2.836893618E-2,2.370791641E-1
3.353529167E-2,6.157826600E-2,-8.435164064E-2,3.598037374E-1,3.746542560E-1
4.356529168E-2,-1.680778485E-2,-1.781801561E-1,4.742588907E-1,5.069044931E-1
5.359529168E-2,-3.446439811E-2,-2.174073717E-1,3.246111006E-1,3.922067396E-1
6.362529169E-2,3.833130801E-2,-2.255233070E-1,1.018912411E-1,2.504233939E-1
7.365529169E-2,6.698739273E-2,-2.556271121E-1,2.829584599E-2,2.657690466E-1
8.368529170E-2,1.235014264E-1,-2.439531460E-1,2.981085956E-2,2.750534987E-1
9.371529170E-2,1.260872844E-1,-1.437763086E-1,8.751118362E-2,2.103041546E-1
1.037452916E-1,-9.342487480E-2,-4.477066845E-2,1.326721537E-1,1.683286083E-1
1.137752916E-1,-2.505766892E-1,7.374099076E-2,1.792873263E-1,3.168128095E-1
1.238052916E-1,-1.287848334E-1,6.304701805E-2,1.575438702E-1,2.130270660E-1
1.338352916E-1,6.676444022E-2,-1.192633188E-1,1.261156708E-1,1.859741705E-1
1.438652916E-1,2.026982439E-1,-3.548207402E-1,1.223968416E-1,4.265739357E-1
1.538952916E-1,2.335865443E-1,-4.698927748E-1,1.147720724E-1,5.371540953E-1
1.639252916E-1,1.963419368E-1,-3.129005894E-1,8.187856078E-3,3.694915100E-1
1.739552916E-1,8.333877498E-2,-1.358983549E-1,-9.215153396E-2,1.841347862E-1
1.839852916E-1,2.474483192E-2,-2.523073554E-4,-1.579496670E-1,1.598764137E-1
1.940152916E-1,1.550866144E-2,3.395185769E-2,-2.410134584E-1,2.438867244E-1
2.040452916E-1,9.725525787E-2,-9.493246973E-3,-2.889518559E-1,3.050276741E-1
2.140752916E-1,2.533244786E-1,-2.105465412E-2,-2.658167624E-1,3.677976904E-1
2.241052917E-1,3.706063587E-1,-8.134207875E-2,-2.437020081E-1,4.509504137E-1
2.341352917E-1,3.345580549E-1,-1.826404122E-1,-2.575143009E-1,4.600002472E-1
2.441652917E-1,2.117253033E-1,-2.473459929E-1,-3.595534766E-1,4.850632400E-1
2.541952917E-1,1.998136480E-1,-1.687272549E-1,-5.220598787E-1,5.839014449E-1
2.642252917E-1,2.403596300E-1,2.593240142E-3,-5.463310862E-1,5.968727941E-1
2.742552917E-1,3.383248678E-1,1.525219890E-1,-4.211229032E-1,5.613120103E-1
2.842887917E-1,4.639240467E-1,3.018481824E-1,-2.271397698E-1,5.982727817E-1
2.943187916E-1,5.428496540E-1,4.079286611E-1,1.279019952E-2,6.791576610E-1
3.043487916E-1,4.091378653E-1,4.267417851E-1,7.659910977E-2,5.961289857E-1
3.143787916E-1,2.346391528E-1,4.764007258E-1,-3.860682607E-2,5.324506274E-1
3.244087916E-1,2.579396128E-1,5.359785908E-1,-1.375627649E-1,6.105156902E-1
3.344387916E-1,3.627776678E-1,4.374445286E-1,-1.191411120E-1,5.806547653E-1
3.444687916E-1,3.910514771E-1,1.841220966E-1,-8.094417572E-2,4.397432931E-1
3.544987916E-1,-7.561410975E-1,-2.120095146E-1,-2.423805374E-1,8.218550471E-1
3.645287916E-1,-5.990364628E-1,-4.467626515E-1,3.104339415E-1,8.092037954E-1
3.745587916E-1,1.309598112E0,-3.957772699E-1,1.116090796E0,1.765600614E0
3.845887916E-1,8.242391597E-1,-2.659448165E-1,7.678481734E-1,1.157448770E0
3.946187916E-1,4.662547103E-1,-1.853155133E-1,7.558526105E-1,9.072201845E-1
4.046487916E-1,6.270465627E-1,-1.525734445E-1,7.644486022E-1,1.000423767E0
4.146787917E-1,3.998443738E-1,-5.571168602E-2,5.749286485E-1,7.025113993E-1
4.247087917E-1,-1.728548044E-1,3.511662304E-2,-1.970406425E-1,2.644559990E-1
4.347387917E-1,5.528274889E-1,1.366903603E-1,-6.297907341E-1,8.490811833E-1
4.447687917E-1,1.546974456E0,3.436917347E-1,4.299165308E-1,1.641975091E0
4.547987917E-1,1.035102620E0,2.681164724E-1,6.092944890E-1,1.230676095E0
4.648287917E-1,5.044240916E-1,1.566711733E-1,8.980492938E-1,1.041864701E0
4.748587917E-1,3.693336026E-1,6.215590239E-3,8.309215039E-1,9.093274928E-1
4.848887917E-1,1.938800763E-1,-8.379703224E-2,4.435288489E-1,4.912527520E-1
4.949187917E-1,-1.262165718E-1,-1.064558700E-1,9.458280623E-2,1.902876309E-1
5.049487917E-1,-2.876710964E-1,-9.004185855E-2,-8.623239756E-2,3.135254733E-1
5.149787917E-1,-1.419255187E-1,-1.222047606E-1,-8.806199133E-2,2.069583791E-1
5.250087916E-1,-1.091086786E-2,-9.083064795E-2,-5.954804420E-2,1.091568743E-1
5.350387916E-1,6.612192258E-2,-2.570196265E-1,1.254368091E-1,2.935397590E-1
5.450687916E-1,1.712607438E-1,-3.534226710E-1,2.939833850E-1,4.905752311E-1
5.550987916E-1,2.347107081E-1,-2.729562128E-1,5.062390673E-1,6.211861266E-1
5.651287916E-1,3.130124540E-1,-2.628598255E-1,6.517218858E-1,7.692941574E-1
5.751587916E-1,1.219476658E-1,-2.939974183E-1,6.858743030E-1,7.561278163E-1
5.851887916E-1,-4.278050647E-1,-3.644072503E-1,5.302003723E-1,7.726074374E-1
5.952187916E-1,-9.483906046E-1,-3.716045880E-1,4.919110501E-1,1.131154804E0
6.052487916E-1,-1.120606601E0,-3.027398828E-1,3.952554059E-1,1.226228945E0
6.152787916E-1,-1.015862503E0,-3.586284471E-1,2.157938325E-1,1.098707407E0
6.253087916E-1,-9.077687549E-1,-4.381093571E-1,1.612270314E-1,1.020773274E0
6.353387916E-1,-7.018912154E-1,-5.835357499E-1,-2.728895545E-3,9.127829405E-1
6.453687917E-1,-3.430746341E-1,-1.005238989E0,-2.749688244E-1,1.097184344E0
6.553987917E-1,-4.650454330E-1,-8.562487185E-1,-4.068071651E-1,1.055898287E0
6.654287917E-1,-5.830825176E-1,-6.828012988E-1,9.952545762E-2,9.033870448E-1
6.754587917E-1,-6.495479641E-1,-8.615515584E-1,3.789054215E-1,1.143570271E0
6.854887917E-1,-6.546640585E-1,-1.096519580E0,5.075693089E-1,1.374251368E0
6.955187917E-1,-6.732940916E-1,-1.148749542E0,6.101417506E-1,1.464658117E0
7.055477917E-1,-5.774926891E-1,-9.536709327E-1,4.224391115E-1,1.192241946E0
7.155777917E-1,-6.293454686E-1,-9.248877212E-1,2.341809869E-3,1.118703938E0
7.256087917E-1,-1.049815969E0,-9.608089212E-1,-2.461666095E-1,1.444252523E0
7.356377917E-1,-1.132824431E0,-8.105331400E-1,-3.323767877E-1,1.432036833E0
7.456677917E-1,-9.998608665E-1,-6.955017436E-1,-4.595127976E-1,1.301766661E0
7.556977917E-1,-1.118826123E0,-6.810877723E-1,-5.017729640E-1,1.402650546E0
7.657277917E-1,-1.151982760E0,-7.460646638E-1,-4.424962306E-1,1.442040109E0
7.757577916E-1,-1.324342305E0,-9.438517034E-1,-4.696319890E-1,1.692717574E0
7.857877916E-1,-1.856921909E0,-1.451279217E0,-2.538627148E-2,2.356907891E0
7.958177916E-1,-1.707217986E0,-1.745385979E0,2.555239087E-1,2.454843770E0
8.058477916E-1,-1.017433358E0,-1.467101490E0,-4.181349760E-1,1.833683255E0
8.158777916E-1,-4.179907691E-1,-1.236609804E0,-1.056252730E0,1.679163459E0
8.259077916E-1,4.254193642E-1,-1.280565371E0,-1.236399597E0,1.830167552E0
8.359377916E-1,1.091550617E0,-1.679537852E0,-8.454717153E-1,2.174201593E0
8.459677916E-1,1.609111940E0,-2.051489764E0,2.881250596E-1,2.623140778E0
8.559977916E-1,1.696796201E0,-2.400660633E0,8.380404890E-1,3.056893960E0
8.660277916E-1,3.236866558E-1,-2.595115636E0,2.991991013E-1,2.632283860E0
8.760577916E-1,3.624922872E-2,-2.399004116E0,6.699792320E-1,2.491065420E0
8.860877916E-1,-1.061898948E0,-1.803903743E0,1.428755450E-1,2.098120948E0
8.961177916E-1,-1.911841882E0,-6.538102189E-1,5.384215575E-1,2.091053553E0
9.061477917E-1,-4.187053427E0,1.352575001E0,1.783915329E-1,4.403714236E0
9.161777917E-1,-4.492229844E0,3.587864388E0,3.679027158E-1,5.760924600E0
9.262077917E-1,-8.968854055E-1,1.646642001E0,1.850197027E0,2.634210005E0
9.362377917E-1,-1.581093398E0,-1.763271442E0,2.001141729E0,3.100572646E0
9.462677917E-1,3.613360003E-1,-2.338420238E0,5.833346057E-1,2.437017065E0
