Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
25.08814688,1.026831587,-0.7260239169,2.947001367,3.204108439,0
25.09817688,0.8124592128,-1.077759228,2.983316669,3.274421059,0
25.10820687,0.5239049676,-1.340766257,2.523875792,2.905525698,0
25.11823588,0.2596833256,-1.575761761,1.531459454,2.212651942,0
25.12826587,0.07627780527,-1.735352156,0.5341267776,1.817293819,0
25.13829587,0.1324961525,-1.813573576,0.01548108816,1.818472989,0
25.14832587,0.3404383439,-1.810420758,-0.03499967873,1.842483803,0
25.15835487,0.609133983,-1.919134237,-0.01897889256,2.013574093,0
25.16838487,0.7885522869,-2.016768706,0.007751069069,2.165463184,0
25.17841487,0.7648038206,-2.162434688,-0.01879645944,2.293774612,0
25.18844487,0.7451817343,-2.266429465,-0.2391774327,2.397749816,0
25.19847387,0.7544215044,-2.269295039,-0.5203934222,2.447378413,0
25.20850387,0.812425299,-2.175247107,-0.7635416991,2.44432624,0
25.21853387,0.9250417954,-1.987961813,-1.057456087,2.434318769,0
25.22856387,1.16605233,-1.744829908,-1.383261774,2.513468237,0
25.23859287,1.369382238,-1.52892761,-1.600940164,2.603043749,0
25.24862287,1.568797435,-1.286763566,-1.61877651,2.595635424,0
25.25865287,1.753152543,-1.045833138,-1.685614278,2.647377247,0
25.26868287,1.817045653,-0.8279343076,-1.677207736,2.607710857,0
25.27871187,1.777142645,-0.6767150782,-1.397773978,2.360074442,0
25.28874187,1.747212356,-0.5861383456,-0.96469118,2.080129383,0
25.29877187,1.634907955,-0.5166776629,-0.657834565,1.836471112,0
25.30880175,1.434028469,-0.4553631748,-0.5937385565,1.617503863,0
25.31883075,1.373207925,-0.4006991637,-0.6999947441,1.592561605,0
25.32886075,1.414981164,-0.2084025134,-0.649764238,1.570922299,0
25.33889075,1.371026036,-0.1629344183,-0.4586731374,1.454868057,0
25.34892075,1.287288792,-0.2059018055,-0.1306952101,1.310186714,0
25.35894975,1.21651921,-0.1897662677,0.136846481,1.238812812,0
25.36897975,1.176755512,-0.2546082348,0.3718337989,1.260094942,0
25.37900975,1.034361485,-0.3093717948,0.5000445271,1.189814741,0
25.38903975,0.9760341936,-0.3984570488,0.429410162,1.138333806,0
25.39906975,0.9885770559,-0.5225558688,0.2722492844,1.150855727,0
25.40909875,1.060161301,-0.5281708038,0.06861824512,1.186429453,0
25.41912875,1.09668301,-0.5186722943,-0.0256254226,1.213421294,0
25.42915875,1.089822911,-0.5234244727,-0.1097241712,1.213971395,0
25.43918775,1.03086105,-0.6155890167,-0.1381854934,1.208602322,0
25.44921775,1.015008225,-0.694314905,-0.106467272,1.23436225,0
25.45924775,1.01967211,-0.773718047,-0.1006130397,1.283936841,0
25.46927775,0.9675460099,-0.8218472099,-0.01198152959,1.269536008,0
25.47930775,0.8188947315,-0.8364998938,0.1531374085,1.180581094,0
25.48933675,0.7509473082,-0.8237817612,0.2682877958,1.146523698,0
25.49936675,0.7045196119,-0.865799122,0.2967502874,1.154996423,0
25.50939675,0.5441383072,-0.9191665131,0.2879315168,1.106281219,0
25.51942575,0.5090399567,-0.8752717575,0.2671049041,1.047171121,0
25.52945575,0.5044907498,-0.7891640519,0.2979858041,0.9828969208,0
25.53948575,0.3670389359,-0.8496868269,0.3309904128,0.9829750443,0
25.54951575,0.1182889534,-0.9296871158,0.2384406835,0.96703897,0
25.55954575,0.04703960739,-0.9559938852,0.1784540981,0.9736441334,0
25.56957475,0.05581620499,-0.995230895,0.1617269683,1.009829488,0
25.57960475,-0.08026787214,-1.052312437,0.1930148345,1.072874235,0
25.58963475,-0.192007944,-1.02002382,0.197585603,1.056577359,0
25.59966475,-0.18764424,-1.004484114,0.02982840121,1.022295666,0
25.60969375,-0.1182709732,-0.9491504502,-0.1706901652,0.9716016327,0
25.61972375,-0.01460630815,-0.8271531196,-0.3167150205,0.885835217,0
25.62975375,0.1117428127,-0.7273614675,-0.4717738241,0.8741348304,0
25.63978375,0.2033110869,-0.6863846187,-0.6103961045,0.9407670526,0
25.64981275,0.2199797811,-0.6285645729,-0.6757726532,0.9487640409,0
25.65984275,0.1860464153,-0.6266689056,-0.6470312494,0.9197698754,0
25.66987275,0.2257934484,-0.6837266207,-0.5307090801,0.8944925382,0
25.67990275,0.2440773628,-0.7447564955,-0.3146480298,0.8445350077,0
25.68993175,0.1359642823,-0.7636180052,-0.1120747519,0.7836832868,0
25.69996175,0.05825146068,-0.6817030455,0.04929670572,0.6859609611,0
25.70999175,-0.06627939541,-0.5666573234,0.1388158232,0.5871654905,0
25.72002075,-0.2461208185,-0.4980222675,0.2436406124,0.6065990309,0
25.73005075,-0.3474830693,-0.3968787391,0.4156943482,0.6716092675,0
25.74008075,-0.3761968816,-0.2098685566,0.4476581526,0.6212622042,0
25.75011075,-0.3758803645,-0.009974911362,0.3258483714,0.4975567389,0
25.76014075,-0.2802943953,0.2161285856,0.08752404749,0.3646052282,0
25.77016975,-0.1692879298,0.432524389,-0.09564992309,0.4742200524,0
25.78019975,-0.1031281465,0.5929547372,-0.2703430921,0.6597849062,0
25.79022975,-0.0647146805,0.70785998,-0.4584784251,0.8458464444,0
25.80025975,-0.07968801107,0.7806377882,-0.5836386609,0.9779466355,0
25.81028875,-0.1506499664,0.8429829942,-0.5672448224,1.027172054,0
25.82031875,-0.2195447117,0.8115278976,-0.4168281233,0.9383619203,0
25.83034875,-0.2727865339,0.7189036162,-0.2182800686,0.7993003759,0
25.84037775,-0.3149702845,0.6600437893,-0.009521021247,0.7314059979,0
25.85040775,-0.2834889119,0.6352343456,0.07527763903,0.6996823279,0
25.86043775,-0.2666616486,0.6643958719,-0.005286467671,0.7159317399,0
25.87046775,-0.1894439034,0.6802684312,-0.1794972414,0.7286105891,0
25.88049675,-0.03532041678,0.7068492888,-0.299283886,0.7684102376,0
25.89052675,0.03146169299,0.736395708,-0.4754663408,0.8771184174,0
25.90055675,0.07437205151,0.7427539703,-0.6161409938,0.9679072201,0
25.91058675,0.12489744,0.7283487698,-0.7016255325,1.019004263,0
25.92061575,0.2281204209,0.746389769,-0.6900690955,1.041792671,0
25.93064575,0.3367443288,0.759884558,-0.680137015,1.073968176,0
25.94067575,0.3870272406,0.7515057904,-0.7619150037,1.138009451,0
25.95070575,0.4176039027,0.7792476127,-0.9261363941,1.280370447,0
25.96073475,0.4641909356,0.8217615482,-1.016546043,1.387130536,0
25.97076475,0.5591487676,0.8748975357,-1.029973589,1.462511072,0
25.98079475,0.6702537587,0.9209858742,-0.9110991096,1.45861464,0
25.99082475,0.7582890721,0.954501822,-0.7180538696,1.41480649,0
26.00085375,0.8583734505,0.9210288513,-0.5637622207,1.379466189,0
26.01088375,0.8230957367,0.8385953897,-0.4127286404,1.245421114,0
26.02091375,0.6751706093,0.6792546701,-0.3171301728,1.008867586,0
26.03094375,0.4769022708,0.4446865976,-0.08212940633,0.6572116747,0
26.04097275,0.2863425359,0.2331816977,0.3589307481,0.5149728478,0
26.05100275,0.1198956221,0.01261156708,0.7193835264,0.7294152932,0
26.06103275,-0.04568860821,-0.1143072188,0.9060161251,0.9143406412,0
