Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
60.8,2.05,11.8,2.01,12.1,1
60.8,2.39,12.1,4.39,13.1,1
60.8,2.87,11.8,6.27,13.6,1
60.8,2.5,9.45,6.97,12.0,1
60.9,0.442,6.47,7.24,9.72,1
60.9,-0.72,5.3,6.28,8.24,1
60.9,-1.17,5.08,0.323,5.23,1
60.9,-0.675,5.84,-5.29,7.91,1
60.9,0.11,6.58,-6.66,9.36,1
60.9,0.578,6.52,-6.55,9.26,1
60.9,1.57,4.61,-5.61,7.43,1
60.9,-2.13,-8.5,-4.04,9.65,1
60.9,-11.9,-33.0,-0.677,35.1,1
60.9,-10.7,-47.2,-1.97,48.5,1
61.0,3.5,-45.0,6.88,45.6,1
61.0,11.3,-31.6,17.6,37.9,1
61.0,6.91,-14.7,7.23,17.7,1
61.0,-1.67,-8.53,-4.37,9.72,1
61.0,-4.65,-3.17,-9.3,10.9,1
61.0,-6.42,1.11,-11.2,12.9,1
61.0,-6.96,4.71,-10.4,13.4,1
61.0,-7.24,7.13,-8.76,13.4,1
61.0,-6.19,8.77,-6.27,12.4,1
61.0,-5.18,10.0,-3.37,11.8,1
61.1,-4.77,10.5,-0.121,11.6,1
61.1,-4.45,9.59,2.46,10.9,1
61.1,-2.64,6.31,2.5,7.29,1
61.1,-1.07,2.58,0.506,2.84,1
61.1,1.72,-0.257,0.541,1.82,1
61.1,4.8,-2.97,1.16,5.77,1
61.1,6.76,-3.93,2.4,8.18,1
61.1,6.53,-2.51,3.86,7.99,1
61.1,4.84,-0.273,4.39,6.54,1
61.1,3.13,1.7,4.06,5.4,1
61.2,2.21,3.41,2.73,4.9,1
61.2,1.34,4.06,2.02,4.73,1
61.2,0.567,4.14,1.49,4.43,1
61.2,-0.327,3.49,0.95,3.63,1
61.2,-1.1,2.67,0.703,2.97,1
61.2,-1.47,1.89,0.457,2.44,1
61.2,-1.86,0.713,0.389,2.03,1
61.2,-2.13,-0.679,0.553,2.3,1
61.2,-2.23,-2.07,0.758,3.13,1
61.2,-2.21,-3.32,0.903,4.09,1
61.3,-1.87,-4.04,0.791,4.52,1
61.3,-0.997,-3.89,0.615,4.07,1
61.3,0.252,-2.82,0.571,2.89,1
61.3,1.16,-1.96,0.374,2.31,1
61.3,1.72,-1.72,0.0457,2.44,1
61.3,2.13,-1.47,-0.247,2.6,1
61.3,2.46,-0.823,-0.545,2.65,1
61.3,2.53,-0.129,-0.583,2.6,1
61.3,2.26,0.534,-0.455,2.37,1
61.3,1.77,1.17,-0.435,2.17,1
61.4,1.23,1.68,-0.48,2.14,1
61.4,0.626,1.96,-0.513,2.12,1
61.4,-0.0703,1.88,-0.526,1.95,1
61.4,-0.65,1.49,-0.523,1.71,1
61.4,-1.08,0.898,-0.405,1.46,1
61.4,-1.4,0.357,-0.43,1.5,1
61.4,-1.5,0.0426,-0.394,1.55,1
61.4,-1.4,-0.0543,-0.228,1.42,1
61.4,-1.16,-0.0253,-0.0468,1.16,1
61.4,-0.794,0.0402,0.11,0.803,1
61.5,-0.411,0.0825,0.153,0.447,1
61.5,-0.114,0.028,0.058,0.131,1
61.5,0.218,-0.093,-0.164,0.288,1
61.5,0.542,-0.173,-0.43,0.713,1
61.5,0.764,-0.313,-0.704,1.08,1
61.5,0.804,-0.427,-0.941,1.31,1
61.5,0.752,-0.341,-1.0,1.3,1
61.5,0.653,-0.177,-0.977,1.19,1
61.5,0.514,0.0335,-0.852,0.996,1
61.5,0.307,0.165,-0.698,0.78,1
61.6,0.0251,0.234,-0.506,0.557,1
61.6,-0.336,0.211,-0.296,0.495,1
61.6,-0.69,0.186,-0.0507,0.717,1
61.6,-1.04,0.0713,0.325,1.09,1
61.6,-1.37,-0.232,0.792,1.59,1
61.6,-1.43,-0.553,1.18,1.93,1
61.6,-1.17,-0.527,1.47,1.95,1
61.6,-0.839,-0.311,1.64,1.87,1
61.6,-0.622,-0.188,1.7,1.82,1
61.6,-0.465,-0.183,1.64,1.71,1
61.7,-0.378,-0.24,1.53,1.59,1
61.7,-0.139,-0.228,1.33,1.36,1
61.7,0.245,-0.236,0.98,1.04,1
61.7,0.746,-0.31,0.655,1.04,1
61.7,1.04,-0.404,0.638,1.28,1
61.7,1.14,-0.561,0.786,1.5,1
61.7,1.3,-0.626,0.905,1.7,1
61.7,1.53,-0.552,1.17,2.0,1
61.7,1.56,-0.441,1.39,2.13,1
61.7,1.51,-0.232,1.36,2.04,1
61.8,1.35,-0.0128,1.2,1.81,1
61.8,1.07,0.233,1.13,1.57,1
61.8,0.64,0.399,1.35,1.54,1
61.8,0.19,0.476,1.73,1.81,1
61.8,-0.142,0.558,1.76,1.85,1
61.8,-0.283,0.604,1.23,1.4,1
61.8,-0.204,0.641,0.574,0.884,1
61.8,0.00445,0.687,0.202,0.716,1
61.8,0.0457,0.675,0.132,0.689,1
61.8,-0.171,0.653,0.238,0.715,1
61.9,-0.354,0.786,-0.181,0.88,1
61.9,-0.767,0.643,-0.0304,1.0,1
61.9,-1.12,0.569,0.256,1.28,1
61.9,-1.09,0.661,-0.419,1.35,1
61.9,-1.05,0.805,-0.623,1.46,1
61.9,-0.974,0.943,0.00714,1.36,1
61.9,-0.985,0.951,0.726,1.55,1
61.9,-0.746,0.941,1.17,1.67,1
61.9,-0.355,0.922,0.727,1.23,1
61.9,-0.0065,1.0,-0.253,1.03,1
62.0,0.171,1.13,-0.741,1.36,1
62.0,0.0745,1.23,-0.478,1.32,1
62.0,-0.0833,1.35,0.102,1.36,1
62.0,-0.092,1.53,0.391,1.58,1
62.0,-0.166,1.65,0.704,1.8,1
62.0,0.0159,1.7,0.822,1.88,1
62.0,0.383,1.81,0.0239,1.85,1
62.0,0.502,1.92,-0.886,2.17,1
62.0,0.213,1.82,-0.963,2.07,1
62.0,-0.092,1.55,-0.472,1.62,1
62.1,-0.292,1.18,-0.152,1.23,1
62.1,-0.373,0.714,-0.254,0.845,1
62.1,-0.439,0.234,-0.434,0.66,1
62.1,-0.674,-0.381,-0.588,0.972,1
62.1,-0.661,-0.834,-0.858,1.37,1
62.1,-0.443,-1.27,-0.904,1.62,1
62.1,-0.318,-1.86,-0.5,1.95,1
62.1,-0.244,-2.69,-0.275,2.72,1
62.1,-0.172,-3.61,-0.343,3.63,1
62.1,-0.37,-4.64,-0.307,4.66,1
62.2,-0.638,-5.76,-0.321,5.81,1
62.2,-0.875,-6.83,-0.669,6.92,1
62.2,-1.22,-7.74,-0.849,7.88,1
62.2,-1.39,-8.3,-0.682,8.44,1
62.2,-1.78,-8.41,-0.646,8.62,1
62.2,-2.31,-8.39,-0.818,8.74,1
62.2,-2.65,-8.47,-1.71,9.04,1
62.2,-2.8,-8.58,-2.86,9.47,1
62.2,-2.7,-8.68,-3.47,9.73,1
62.2,-2.21,-8.54,-3.9,9.64,1
62.3,-1.42,-8.02,-3.84,9.01,1
62.3,-0.901,-7.32,-3.07,7.99,1
62.3,-0.624,-6.44,-1.9,6.74,1
62.3,-0.504,-5.47,-0.295,5.5,1
62.3,-0.825,-4.64,1.37,4.91,1
62.3,-0.403,-3.29,2.65,4.25,1
62.3,0.253,-1.87,3.88,4.31,1
62.3,1.21,0.277,4.0,4.19,1
62.3,2.22,2.62,3.13,4.65,1
62.3,2.86,4.49,2.11,5.73,1
62.4,3.22,6.23,1.25,7.12,1
62.4,3.34,7.51,0.702,8.25,1
62.4,3.3,8.77,0.332,9.38,1
62.4,3.27,9.75,0.691,10.3,1
62.4,3.04,10.7,1.73,11.3,1
62.4,2.56,11.9,3.92,12.7,1
62.4,1.47,12.8,6.61,14.4,1
62.4,0.201,13.2,8.55,15.7,1
62.4,-1.33,12.8,7.55,15.0,1
62.4,-2.04,11.4,4.43,12.4,1
62.5,-1.84,9.71,0.461,9.89,1
62.5,-0.706,9.12,-2.38,9.45,1
62.5,0.614,9.25,-3.89,10.1,1
62.5,1.92,9.53,-3.44,10.3,1
62.5,2.5,9.61,-2.83,10.3,1
62.5,2.7,9.96,-2.46,10.6,1
62.5,2.75,10.1,-1.96,10.7,1
62.5,2.73,9.85,-1.25,10.3,1
62.5,2.53,8.96,-0.856,9.35,1
62.5,1.95,7.44,-0.634,7.72,1
62.6,1.32,6.02,-0.347,6.18,1
62.6,0.981,4.44,-0.45,4.57,1
62.6,1.04,1.82,-0.715,2.21,1
62.6,0.708,-2.92,-1.24,3.25,1
62.6,0.327,-7.92,-1.6,8.08,1
62.6,-0.913,-16.2,1.05,16.2,1
62.6,-5.4,-33.9,9.9,35.7,1
62.6,-1.7,-48.6,21.7,53.2,1
62.6,6.83,-39.5,13.4,42.3,1
62.6,5.46,-22.5,-2.85,23.3,1
62.7,-2.04,-12.0,-9.8,15.6,1
62.7,-8.5,-4.19,-11.8,15.1,1
62.7,-10.3,2.54,-8.15,13.4,1
62.7,-12.1,6.36,-6.93,15.4,1
62.7,-11.4,9.58,-6.17,16.1,1
62.7,-7.82,11.3,-5.38,14.7,1
62.7,-5.21,11.4,-4.76,13.4,1
62.7,-4.21,11.0,-4.79,12.7,1
62.7,-3.35,9.09,-3.49,10.3,1
62.7,-2.46,5.86,-0.768,6.4,1
62.8,-0.0903,1.07,-0.0154,1.08,1
62.8,2.74,-3.27,-0.204,4.27,1
62.8,5.19,-5.4,0.355,7.5,1
62.8,7.7,-5.54,2.0,9.69,1
