Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
0.00344,0.151,-0.858,-0.0666,0.874,0
0.0135,0.396,-1.31,-0.643,1.52,0
0.0235,0.385,-1.55,-1.41,2.13,0
0.0335,0.263,-1.23,-1.95,2.32,0
0.0435,0.459,-0.712,-2.15,2.31,0
0.0535,0.857,-0.134,-2.14,2.31,0
0.0635,1.49,0.22,-2.2,2.67,0
0.0735,1.96,0.151,-2.24,2.98,0
0.0835,2.03,0.0132,-1.91,2.79,0
0.0935,1.6,-0.28,-1.48,2.19,0
0.104,0.81,-0.681,-1.35,1.71,0
0.114,0.32,-1.12,-1.19,1.67,0
0.124,-0.0001,-1.34,-0.904,1.61,0
0.134,-0.242,-1.09,-0.664,1.3,0
0.144,-0.0576,-0.616,-0.868,1.07,0
0.154,0.511,-0.208,-1.56,1.66,0
0.164,0.867,0.0246,-2.48,2.63,0
0.174,0.389,0.271,-3.24,3.27,0
0.184,-0.285,0.477,-3.67,3.71,0
0.194,-0.641,0.528,-3.35,3.46,0
0.204,-0.717,0.523,-2.5,2.66,0
0.214,-0.566,0.344,-1.63,1.76,0
0.224,-0.322,0.254,-0.871,0.963,0
0.234,-0.316,0.275,0.185,0.458,0
0.244,-0.656,0.375,1.28,1.49,0
0.254,-1.1,0.668,1.86,2.27,0
0.264,-1.79,1.01,1.91,2.8,0
0.274,-2.25,1.27,1.8,3.15,0
0.284,-2.28,1.31,1.72,3.14,0
0.294,-2.03,1.22,1.68,2.9,0
0.304,-1.62,1.14,1.81,2.68,0
0.314,-1.35,1.23,2.17,2.83,0
0.324,-1.33,1.4,2.53,3.18,0
0.334,-1.53,1.35,2.45,3.19,0
0.344,-1.91,1.12,1.99,2.98,0
0.354,-2.38,0.815,1.08,2.74,0
0.364,-2.64,0.726,0.362,2.76,0
0.374,-2.75,0.873,0.455,2.92,0
0.384,-2.45,1.14,1.26,2.98,0
0.394,-1.59,1.17,2.45,3.14,0
0.404,-0.743,0.757,3.35,3.51,0
0.414,0.194,0.18,3.71,3.72,0
0.424,0.705,-0.331,3.1,3.19,0
0.434,-0.00794,-0.825,1.67,1.86,0
0.444,-1.59,-0.798,0.688,1.91,0
0.454,-2.28,-0.484,-0.0544,2.33,0
0.464,-1.78,0.00171,-0.397,1.82,0
0.474,-0.737,0.991,-0.369,1.29,0
0.484,0.177,2.28,-0.654,2.38,0
0.494,0.339,3.33,-1.46,3.65,0
0.504,-0.468,3.28,-1.81,3.77,0
0.514,-1.27,2.39,-1.44,3.06,0
0.524,-1.03,0.229,-0.988,1.44,0
0.534,-1.49,-1.17,0.31,1.92,0
0.544,0.213,-2.18,-1.51,2.66,0
0.554,0.963,-4.06,-3.31,5.33,0
0.564,1.39,-5.44,-4.61,7.26,0
0.574,1.12,-4.36,-3.69,5.82,0
0.584,-0.498,-4.17,-2.98,5.15,0
0.594,-1.54,-3.73,-2.38,4.68,0
0.604,-1.21,-2.78,-1.12,3.24,0
0.614,-0.629,-1.68,0.437,1.85,0
0.624,-0.102,-0.559,1.5,1.61,0
0.634,0.825,0.683,2.44,2.67,0
0.644,2.17,1.52,4.56,5.27,0
0.654,3.81,1.84,1.34,4.43,0
0.664,4.91,2.08,-1.47,5.54,0
0.674,3.25,2.07,-3.14,4.97,0
0.684,1.02,2.05,-4.15,4.74,0
0.694,-0.565,1.52,-3.93,4.25,0
0.704,-1.92,0.769,-1.78,2.73,0
0.714,-0.628,-0.51,1.9,2.07,0
0.724,2.16,-0.489,0.428,2.26,0
0.734,2.52,-0.836,-0.806,2.78,0
0.744,-0.0483,-2.24,0.807,2.39,0
0.754,-4.06,-3.02,-1.01,5.16,0
0.764,-5.76,-3.41,-0.687,6.73,0
0.774,-3.45,-3.47,-1.04,5.0,0
0.784,1.49,-2.23,-6.06,6.63,0
0.794,4.99,1.93,-6.8,8.65,0
0.804,4.09,3.85,-1.3,5.76,0
0.814,-1.68,3.12,2.96,4.62,0
0.824,-1.75,2.03,2.82,3.89,0
0.834,-0.187,-0.503,2.28,2.34,0
0.844,-0.147,-1.15,1.02,1.54,0
0.854,-0.765,-0.246,0.0727,0.807,0
0.864,-1.24,1.04,-0.0686,1.62,0
0.874,-0.139,2.11,0.451,2.16,0
0.884,1.81,2.39,1.46,3.33,0
0.894,3.38,1.66,2.49,4.52,0
0.905,4.15,0.638,3.47,5.45,0
0.915,4.69,-0.127,4.4,6.43,0
0.925,4.49,-0.714,5.16,6.88,0
0.935,3.99,-1.01,5.27,6.69,0
0.945,3.1,-1.48,3.93,5.22,0
0.955,2.12,-1.8,2.36,3.65,0
0.965,0.628,-1.86,0.349,2.0,0
0.975,-0.314,-1.24,-0.526,1.38,0
0.985,-0.275,-0.675,-1.64,1.79,0
0.995,0.0284,-0.352,-2.25,2.27,0
1.0,0.398,0.0622,-2.06,2.1,0
1.01,1.02,0.227,-1.18,1.58,0
1.02,1.45,-0.278,-0.502,1.56,0
1.03,1.6,-1.04,-0.271,1.93,0
1.04,1.74,-1.34,-0.425,2.24,0
