Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
100.40734,0.4908582589,2.275122082,-6.482294608,6.887471648,1
100.417377,0.6287163082,2.994102443,-6.344165833,7.043321216,1
100.427415,0.5943054441,3.698898043,-6.054367885,7.119720232,1
100.437453,0.3488226664,4.35104239,-5.519835895,7.037175246,1
100.44749,0.1154863098,4.712473408,-4.681256878,6.643410921,1
100.457528,-0.08443028569,4.788576089,-3.414249446,5.881724978,1
100.467566,-0.1907091312,4.449642819,-1.33967312,4.650851025,1
100.477603,0.16568451,3.567602324,1.386546739,3.831155121,1
100.487641,0.5604149821,2.029524845,4.164300449,4.666308421,1
100.497679,0.2539521772,0.2576846011,7.15718784,7.166326175,1
100.507716,-0.5167165469,-1.044691615,10.45881991,10.52355883,1
100.517754,-0.6209362954,-1.96185955,13.30488547,13.46307663,1
100.527792,0.2564676493,-3.110705279,14.53419941,14.86557149,1
100.53783,1.777725759,-4.516927314,13.84659024,14.67279805,1
100.547867,3.351573726,-5.762401789,11.58630225,13.36715081,1
100.557905,4.088230805,-6.489015398,8.383250145,11.36221083,1
100.567943,4.17475644,-6.925588399,5.099877173,9.560392941,1
100.57798,4.092899514,-7.17508032,2.257572541,8.563307644,1
100.588018,3.98080839,-7.220954066,-0.1982410759,8.247927775,1
100.598056,3.784134075,-7.095240684,-2.151055568,8.324010519,1
100.608093,3.746580333,-6.858068261,-3.567519001,8.590527125,1
100.618131,3.924004444,-6.44872165,-4.355994397,8.715417889,1
100.628169,3.827129529,-5.935250162,-4.623299861,8.440913252,1
100.638206,3.17868033,-5.411238483,-4.548786453,7.750933412,1
100.648244,2.517560799,-4.557109964,-4.285345414,6.74311122,1
100.658282,2.557405481,-3.583322563,-3.810584832,5.822463409,1
100.668319,3.411577268,-2.480625107,-2.824397534,5.076374869,1
100.678357,5.101124384,-1.616750889,-1.631550922,5.594400042,1
100.688395,7.744613743,-1.056410897,0.1336340207,7.817474276,1
100.698432,10.15445129,-0.5421735696,2.832794135,10.55611461,1
100.70847,11.64670399,0.3462687488,5.077796332,12.7102176,1
100.718508,11.93565,1.393121641,5.05177096,13.03537183,1
100.728546,11.5072783,1.747853942,2.200439397,11.84543713,1
100.738583,10.9691684,1.110353216,-0.9817825913,11.06884984,1
100.748621,9.797413284,0.1184414926,-2.686103867,10.15965006,1
100.758659,8.089142214,-0.7467201367,-2.780667962,8.586263858,1
100.768696,6.201347591,-1.579270383,-2.02365351,6.711630235,1
100.778734,4.406145089,-2.390741708,-1.213849225,5.15782807,1
100.788772,2.58284467,-3.213446412,-0.3437110305,4.13708372,1
100.798809,0.5743494818,-4.160352409,0.9258177209,4.300645062,1
100.808847,-1.456928505,-4.877169008,2.236657636,5.559861111,1
100.818885,-3.438704841,-5.023300867,3.386414945,6.96606408,1
100.828922,-5.115539525,-4.467268081,3.671088393,7.720240846,1
100.83896,-5.910204198,-3.611911355,2.473592661,7.354935619,1
100.848998,-5.897829151,-2.713634312,0.2636895454,6.497517376,1
100.859035,-5.417157034,-1.867713384,-1.452975787,5.911436565,1
100.869073,-5.084176229,-1.161258271,-1.736700232,5.496680489,1
100.879111,-5.775107789,-0.6957326355,-0.7275421464,5.862186576,1
100.889148,-6.335927106,-0.5581606612,1.291539425,6.490268847,1
100.899186,-6.929246417,-0.301241351,3.083550809,7.590354923,1
100.909224,-7.219025069,0.2079150018,3.975828901,8.244074663,1
100.919261,-6.146719394,0.6024042032,3.364803051,7.033274465,1
100.929299,-4.635181696,0.8212868274,1.806846939,5.042233361,1
100.939337,-4.660429388,1.088390197,0.6102195185,4.824579066,1
100.949375,-4.841427025,1.658444606,-0.06170683622,5.117974393,1
100.959412,-4.008482677,2.130821717,-0.8243790543,4.613885064,1
100.96945,-2.834460884,2.174737961,-1.911170037,4.051694042,1
100.979488,-1.705093693,1.702223294,-3.090523614,3.918704486,1
100.989525,-1.089752598,1.707078676,-4.134267395,4.603677359,1
100.999563,-0.1921836528,0.8187188034,-6.266598424,6.322775565,1
101.009601,0.4301600674,0.1418553521,-8.160518006,8.173078658,1
101.019638,0.0812365365,1.53606516,-7.85848359,8.007612621,1
101.029676,-1.168322804,3.599457078,-3.920113122,5.44870226,1
101.039714,-1.408306568,3.867203422,-1.290067681,4.313103791,1
101.049751,-1.501318812,3.258685443,-0.1983831632,3.593375136,1
101.059789,-1.556578508,2.550130667,0.6997199249,3.068503063,1
101.069827,-1.319027771,1.262684585,1.059607862,2.111155002,1
101.079864,-1.109615443,-0.2078223234,0.4842032504,1.228368567,1
101.089902,-1.275622281,-0.9632831705,-0.5556404382,1.692295177,1
101.09994,-1.412086646,-1.153652432,-0.9026107067,2.034602841,1
101.109977,-1.948742345,-1.66767736,1.089090693,2.786550383,1
101.120015,-1.761440532,-2.224125298,-1.295310295,3.118851528,1
101.130053,-1.225236239,-2.286889019,-1.895545692,3.213122889,1
101.140091,-0.6973184735,-2.184187061,-1.021734862,2.510153043,1
101.150128,0.1561343258,-2.134566127,-0.5029394835,2.198567398,1
101.160166,1.341889653,-2.189736069,1.513220819,2.980847051,1
101.170204,2.880620851,-2.534517725,4.543812227,5.947098968,1
101.180241,3.278835825,-3.079000506,9.882524185,10.85795988,1
101.190279,2.512317893,-3.42924083,14.97585131,15.56751606,1
101.200317,2.566876508,-4.704218309,12.60729393,13.69899213,1
101.2103543,3.092246788,-5.055457045,8.914850925,10.7048682,1
101.2203923,2.700896153,-4.043082114,6.175026934,7.859536287,1
101.2304303,1.902793316,-3.162485881,3.373495522,5.000241133,1
101.2404673,1.645150669,-2.729340518,0.04505221188,3.187138229,1
101.2505053,1.872656474,-2.539424123,-3.191209744,4.487687241,1
