Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
241.2793832,4.322968739,-0.07860105023,-1.896062002,4.721153244,0
115.5652595,1.336663558,-1.021291643,-0.3431719172,1.716820623,0
338.3304048,7.416828774,0.02022990435,-8.07976328,10.96778615,0
402.4368923,-4.551593701,0.3426124848,1.078437212,4.690140228,0
295.7072286,2.13213047,2.75749223,-2.386129425,4.224139838,0
41.1,4.36,-3.65,-5.5,7.91,0
509.440926,-3.597770156,0.6184310558,0.3211963266,3.664638338,0
122.806718,-0.4939222365,-0.926645979,0.06417377651,1.052021967,0
276.8852931,0.700267809,3.291946452,2.601357247,4.253744935,0
190.6163193,2.055119716,-1.479216044,1.734705747,3.069332367,0
32.3,-1.69,-1.34,-2.28,3.14,0
160.057339,4.255876617,-0.7355785596,1.148693116,4.469122673,0
40.6866405,1.413849728,-2.559549655,3.591577955,4.631381834,0
32.5703205,0.4159448283,-1.686432158,-0.7430214804,1.889217945,0
14.3,0.321,2.9,-0.0674,2.92,0
17.72628692,-0.2489855887,-0.8309770525,-2.173495427,2.340213464,0
543.7346995,-0.08154351532,0.05143854082,0.009013044387,0.09683234657,0
15.03829062,0.03931170791,-0.6052008533,-0.1712871659,0.6302005843,0
84.42325675,0.1880802231,0.3938415492,0.01914524585,0.436865971,0
0.0814,1.28,0.248,6.98,7.1,0
36.1,-1.56,-1.33,-2.67,3.37,0
16.0,-6.58,3.97,-15.3,17.1,0
12.3,3.96,5.29,-3.13,7.31,0
505.585939,6.04417268,1.48843418,-2.372150632,6.661423145,0
522.6523783,-5.470584213,0.6351745579,-0.3219647969,5.516738138,0
239.5427571,1.140733302,0.8561895154,-1.175783413,1.848458705,0
263.3134622,-2.30341822,0.7083698572,0.9493125643,2.590119244,0
103.9958683,-1.090009291,1.213350896,0.5279801846,1.714381441,0
308.275278,-4.432816286,0.9886948773,-0.5936264361,4.580367904,0
450.5024423,-4.842572787,2.02538794,-0.6534399439,5.289583279,0
70.9937075,0.1522171116,1.601223169,6.358465784,6.558747808,0
517.1609703,1.508427857,-2.091111082,-2.184996901,3.379691053,0
138.246694,0.9321970332,-0.3355027092,-0.8130091435,1.281615092,0
144.6210239,-7.732059186,0.07070825927,0.2148334274,7.735366334,0
494.5832118,-3.966710168,1.754344644,-2.75148217,5.136454888,0
42.41312712,-3.807394592,1.409302348,1.172615684,4.225803382,0
102.9619241,-6.392089028,0.8554266,0.4048862086,6.461771402,0
60.16990108,6.580299205,-1.289171595,-2.539513001,7.17017624,0
421.8618107,2.939441501,-1.276089766,-2.294062675,3.940995431,0
59.53996762,0.3305945563,-0.628337701,4.148557405,4.208875096,0
561.1125956,-1.077546535,0.8148439997,0.871271385,1.607541945,0
484.0623874,0.9716528749,2.674363535,4.854247338,5.626726121,0
480.0066577,-0.9465332365,4.950646874,2.434208155,5.597338562,0
52.77206258,0.2319935435,0.787699032,-1.325144105,1.558941201,0
135.7270723,3.066954072,-2.346383561,-3.919041912,5.501873554,0
105.0842368,0.7780476178,0.09503421128,-0.7290948746,1.070499385,0
64.6,-0.061,0.664,-1.01,1.21,0
26.2,4.76,4.61,-3.53,7.5,0
